"Município";"Quantidade_aprovada"
110001 Alta Floresta D'Oeste;1730
110037 Alto Alegre dos Parecis;711
110040 Alto Paraíso;2549
110034 Alvorada D'Oeste;1551
110002 Ariquemes;21248
110045 Buritis;5582
110003 Cabixi;482
110060 Cacaulândia;562
110004 Cacoal;17254
110070 Campo Novo de Rondônia;1286
110080 Candeias do Jamari;6419
110090 Castanheiras;333
110005 Cerejeiras;1690
110092 Chupinguaia;923
110006 Colorado do Oeste;1898
110007 Corumbiara;728
110008 Costa Marques;821
110094 Cujubim;2053
110009 Espigão D'Oeste;5890
110100 Governador Jorge Teixeira;596
110010 Guajará-Mirim;10582
110110 Itapuã do Oeste;1095
110011 Jaru;5299
110012 Ji-Paraná;15487
110013 Machadinho D'Oeste;5704
110120 Ministro Andreazza;1812
110130 Mirante da Serra;388
110140 Monte Negro;1910
110014 Nova Brasilândia D'Oeste;1117
110033 Nova Mamoré;5099
110143 Nova União;281
110050 Novo Horizonte do Oeste;1664
110015 Ouro Preto do Oeste;4372
110145 Parecis;202
110018 Pimenta Bueno;5952
110146 Pimenteiras do Oeste;241
110020 Porto Velho;122618
110025 Presidente Médici;1994
110147 Primavera de Rondônia;285
110026 Rio Crespo;385
110028 Rolim de Moura;6814
110029 Santa Luzia D'Oeste;530
110148 São Felipe D'Oeste;963
110149 São Francisco do Guaporé;1638
110032 São Miguel do Guaporé;1714
110150 Seringueiras;1554
110155 Teixeirópolis;228
110160 Theobroma;1112
110170 Urupá;424
110175 Vale do Anari;612
110180 Vale do Paraíso;778
110030 Vilhena;19165
120001 Acrelândia;513
120005 Assis Brasil;1518
120010 Brasiléia;3142
120013 Bujari;1096
120017 Capixaba;526
120020 Cruzeiro do Sul;9564
120025 Epitaciolândia;1897
120030 Feijó;2569
120032 Jordão;758
120033 Mâncio Lima;1810
120034 Manoel Urbano;1187
120035 Marechal Thaumaturgo;828
120038 Plácido de Castro;1921
120080 Porto Acre;946
120039 Porto Walter;524
120040 Rio Branco;46929
120042 Rodrigues Alves;1366
120043 Santa Rosa do Purus;243
120050 Sena Madureira;3640
120045 Senador Guiomard;2691
120060 Tarauacá;2798
120070 Xapuri;2844
130002 Alvarães;242
130006 Amaturá;263
130008 Anamã;253
130010 Anori;738
130014 Apuí;310
130020 Atalaia do Norte;524
130030 Autazes;1122
130040 Barcelos;1722
130050 Barreirinha;1445
130060 Benjamin Constant;1042
130063 Beruri;839
130068 Boa Vista do Ramos;662
130070 Boca do Acre;2088
130080 Borba;2357
130083 Caapiranga;700
130090 Canutama;1003
130100 Carauari;3727
130110 Careiro;1427
130115 Careiro da Várzea;1014
130120 Coari;5201
130130 Codajás;738
130140 Eirunepé;2229
130150 Envira;162
130160 Fonte Boa;1036
130165 Guajará;1494
130170 Humaitá;5437
130180 Ipixuna;439
130185 Iranduba;6464
130190 Itacoatiara;3753
130195 Itamarati;28
130200 Itapiranga;829
130210 Japurá;221
130220 Juruá;369
130230 Jutaí;1565
130240 Lábrea;7993
130250 Manacapuru;9262
130255 Manaquiri;886
130260 Manaus;272964
130270 Manicoré;2199
130280 Maraã;1204
130290 Maués;2349
130300 Nhamundá;1064
130310 Nova Olinda do Norte;2100
130320 Novo Airão;1734
130330 Novo Aripuanã;1747
130340 Parintins;5687
130350 Pauini;400
130353 Presidente Figueiredo;3445
130356 Rio Preto da Eva;2470
130360 Santa Isabel do Rio Negro;48
130370 Santo Antônio do Içá;578
130380 São Gabriel da Cachoeira;1042
130390 São Paulo de Olivença;3083
130395 São Sebastião do Uatumã;463
130400 Silves;172
130406 Tabatinga;1549
130410 Tapauá;1845
130420 Tefé;7384
130423 Tonantins;447
130426 Uarini;783
130430 Urucará;959
130440 Urucurituba;247
140005 Alto Alegre;3164
140002 Amajari;3055
140010 Boa Vista;96668
140015 Bonfim;2458
140017 Cantá;2685
140020 Caracaraí;5363
140023 Caroebe;1944
140028 Iracema;1327
140030 Mucajaí;2955
140040 Normandia;1970
140045 Pacaraima;5229
140047 Rorainópolis;5954
140050 São João da Baliza;806
140060 São Luiz;684
140070 Uiramutã;3390
150010 Abaetetuba;11754
150013 Abel Figueiredo;232
150020 Acará;4998
150030 Afuá;2360
150034 Água Azul do Norte;2135
150040 Alenquer;4069
150050 Almeirim;2042
150060 Altamira;21183
150070 Anajás;2586
150080 Ananindeua;46295
150085 Anapu;2673
150090 Augusto Corrêa;4381
150095 Aurora do Pará;2692
150100 Aveiro;587
150110 Bagre;834
150120 Baião;1448
150125 Bannach;308
150130 Barcarena;10107
150140 Belém;159861
150145 Belterra;1697
150150 Benevides;5510
150157 Bom Jesus do Tocantins;1315
150160 Bonito;1592
150170 Bragança;16592
150172 Brasil Novo;5489
150175 Brejo Grande do Araguaia;286
150178 Breu Branco;3227
150180 Breves;19160
150190 Bujaru;1163
150200 Cachoeira do Arari;479
150195 Cachoeira do Piriá;1029
150210 Cametá;7721
150215 Canaã dos Carajás;4557
150220 Capanema;6582
150230 Capitão Poço;5721
150240 Castanhal;31815
150250 Chaves;607
150260 Colares;1227
150270 Conceição do Araguaia;3402
150275 Concórdia do Pará;1195
150276 Cumaru do Norte;262
150277 Curionópolis;834
150280 Curralinho;2430
150285 Curuá;194
150290 Curuçá;3974
150293 Dom Eliseu;1585
150295 Eldorado do Carajás;1663
150300 Faro;72
150304 Floresta do Araguaia;3040
150307 Garrafão do Norte;3524
150309 Goianésia do Pará;1899
150310 Gurupá;1284
150320 Igarapé-Açu;5016
