 Procedimentos hospitalares do SUS - por gestor - Brasil
Valor total por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";626343,21;653669,39;652942,03;480319,05;2413273,68
"110037 Alto Alegre dos Parecis";190399,87;122482,11;121618,02;123692,17;558192,17
"110040 Alto Paraíso";129443,66;117265,94;142301,54;130504,45;519515,59
"110034 Alvorada D'Oeste";179733,93;210702,35;167355,11;96707,73;654499,12
"110002 Ariquemes";2926806,13;2619731,04;2840560,44;5627018,38;14014115,99
"110003 Cabixi";97387,75;80628,43;86190,75;76497,19;340704,12
"110060 Cacaulândia";13370,71;14813,22;17964,66;10171,25;56319,84
"110004 Cacoal";946324,19;1141227,30;1313310,34;1055665,85;4456527,68
"110070 Campo Novo de Rondônia";90668,16;124883,77;84849,61;29091,38;329492,92
"110005 Cerejeiras";446184,84;460198,78;353857,08;286911,49;1547152,19
"110006 Colorado do Oeste";292923,87;264368,42;423628,29;218951,21;1199871,79
"110008 Costa Marques";123706,12;186081,30;121080,82;59412,47;490280,71
"110094 Cujubim";324654,21;269921,69;167048,01;101474,25;863098,16
"110009 Espigão D'Oeste";520419,77;660031,00;682423,74;515591,00;2378465,51
"110100 Governador Jorge Teixeira";6813,44;-;-;-;6813,44
"110010 Guajará-Mirim";1433448,39;1374973,30;1250554,28;1408957,99;5467933,96
"110110 Itapuã do Oeste";26172,10;12051,40;-;7676,22;45899,72
"110011 Jaru";938415,68;1418218,16;1479977,30;1890145,01;5726756,15
"110012 Ji-Paraná";3405802,61;3462389,67;3425306,16;2794165,03;13087663,47
"110013 Machadinho D'Oeste";358285,52;748233,49;732871,43;643059,98;2482450,42
"110120 Ministro Andreazza";78039,44;45520,31;49323,13;31442,96;204325,84
"110130 Mirante da Serra";177238,66;120115,15;114039,29;101072,60;512465,70
"110140 Monte Negro";53079,90;200649,17;216004,25;114955,98;584689,30
"110014 Nova Brasilândia D'Oeste";307684,36;266327,76;311828,93;194248,49;1080089,54
"110033 Nova Mamoré";123344,45;137255,89;178142,04;250982,59;689724,97
"110143 Nova União";24943,90;28582,96;32764,16;19273,80;105564,82
