 Procedimentos hospitalares do SUS - por local de residência - Brasil
Valor total por Município e Ano processamento
Período:2017-2020
"Município";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";1573188,70;1401505,75;1827556,76;1273125,06;6075376,27
"110037 Alto Alegre dos Parecis";564918,49;510983,12;565593,43;449813,61;2091308,65
"110040 Alto Paraíso";997027,58;878213,31;919919,89;1186741,14;3981901,92
"110034 Alvorada D'Oeste";658332,87;723830,84;625825,02;491685,34;2499674,07
"110002 Ariquemes";6968631,85;6641879,21;6870043,30;8456501,87;28937056,23
"110045 Buritis";1469265,39;1904102,45;1556224,59;1860991,64;6790584,07
"110003 Cabixi";384989,90;343773,12;406668,32;290340,26;1425771,60
"110060 Cacaulândia";222970,00;310335,97;354941,79;305110,14;1193357,90
"110004 Cacoal";4656640,53;6103431,41;6329372,85;4397811,42;21487256,21
"110070 Campo Novo de Rondônia";495372,09;526532,97;502766,11;470519,60;1995190,77
"110080 Candeias do Jamari";2134572,64;1908168,76;2077869,74;2278394,22;8399005,36
"110090 Castanheiras";69252,90;143889,92;98243,37;149145,76;460531,95
"110005 Cerejeiras";1041580,18;1020176,89;1048152,57;813068,14;3922977,78
"110092 Chupinguaia";366303,72;351001,04;337871,15;412488,35;1467664,26
"110006 Colorado do Oeste";1040512,05;919546,89;1057484,08;786905,75;3804448,77
"110007 Corumbiara";287046,46;263234,01;216654,74;289329,39;1056264,60
"110008 Costa Marques";470306,62;588031,89;567997,62;578452,46;2204788,59
"110094 Cujubim";1180533,79;1255884,55;1138044,05;858442,09;4432904,48
"110009 Espigão D'Oeste";1214405,64;1699305,60;1870882,60;1345553,86;6130147,70
"110100 Governador Jorge Teixeira";331779,24;246480,26;232439,76;212038,80;1022738,06
"110010 Guajará-Mirim";3249505,05;2831947,89;3248120,70;3512530,49;12842104,13
"110110 Itapuã do Oeste";432361,72;417783,39;427173,45;480602,46;1757921,02
"110011 Jaru";2400238,97;2608714,80;3466679,79;3396055,51;11871689,07
"110012 Ji-Paraná";6434074,83;6811189,09;6779021,50;5879200,70;25903486,12
"110013 Machadinho D'Oeste";1823341,25;2151593,52;2087388,25;2193810,67;8256133,69
"110120 Ministro Andreazza";384803,99;409886,74;461560,13;346862,57;1603113,43
"110130 Mirante da Serra";453431,18;393260,76;491119,85;557492,42;1895304,21
"110140 Monte Negro";556580,93;624967,88;689859,12;789284,78;2660692,71
"110014 Nova Brasilândia D'Oeste";786204,96;984370,43;905552,42;643115,92;3319243,73
"110033 Nova Mamoré";1444299,35;1605857,75;1660221,14;1506388,44;6216766,68
"110143 Nova União";210803,15;201829,43;721777,77;208407,92;1342818,27
"110050 Novo Horizonte do Oeste";517374,37;464814,21;431956,99;454002,27;1868147,84
"110015 Ouro Preto do Oeste";1987492,23;2091432,98;2033452,47;2194783,22;8307160,90
"110145 Parecis";109086,24;117912,25;142502,35;120956,81;490457,65
"110018 Pimenta Bueno";1917723,33;2172078,77;2293107,91;1973730,89;8356640,90
"110146 Pimenteiras do Oeste";120842,01;155743,96;123818,46;163724,87;564129,30
"110020 Porto Velho";36183489,51;40599545,76;43979636,16;46619347,12;167382018,55
"110025 Presidente Médici";934206,67;1088748,36;1085621,10;794833,99;3903410,12
"110147 Primavera de Rondônia";191494,50;135619,50;337659,51;129024,01;793797,52
"110026 Rio Crespo";190614,61;181907,64;284202,23;134193,52;790918,00
"110028 Rolim de Moura";3308231,47;3033431,77;3557073,98;2631174,24;12529911,46
"110029 Santa Luzia D'Oeste";551437,80;503445,25;597911,86;400695,10;2053490,01
