Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
16/07/2021;0100;16,4;17,7;15,8;67,0;71,0;63,0;10,3;10,9;10,2;889,6;889,7;889,4;1,0;115,0;3,1;;0,0;
16/07/2021;0200;17,1;17,1;15,4;64,0;72,0;64,0;10,2;10,8;10,0;889,5;889,6;889,5;1,7;142,0;2,6;;0,0;
16/07/2021;0300;18,3;18,4;17,1;58,0;64,0;58,0;10,0;10,2;9,6;889,2;889,5;889,2;2,7;111,0;4,3;;0,0;
16/07/2021;0400;17,4;18,3;17,4;62,0;62,0;58,0;10,1;10,3;10,0;888,9;889,2;888,9;1,5;119,0;4,0;;0,0;
16/07/2021;0500;13,2;17,4;13,1;84,0;84,0;62,0;10,5;10,5;9,7;888,5;888,9;888,5;0,5;71,0;2,7;;0,0;
16/07/2021;0600;13,4;13,4;12,6;82,0;85,0;81,0;10,4;10,5;9,7;888,3;888,5;888,3;0,4;292,0;1,7;;0,0;
16/07/2021;0700;12,9;13,5;12,8;82,0;83,0;81,0;9,9;10,4;9,7;888,1;888,3;888,0;0,5;220,0;0,8;;0,0;
16/07/2021;0800;12,1;13,4;12,0;86,0;86,0;80,0;9,8;10,4;9,4;888,2;888,2;888,0;1,0;138,0;2,2;;0,0;
16/07/2021;0900;11,8;12,3;11,7;87,0;88,0;85,0;9,7;10,1;9,5;888,4;888,4;888,2;0,3;274,0;1,3;;0,0;
16/07/2021;1000;12,2;12,7;11,8;86,0;88,0;83,0;10,0;10,2;9,6;888,6;888,6;888,4;0,4;260,0;0,7;9,12;0,0;
16/07/2021;1100;19,5;19,5;12,2;55,0;86,0;55,0;10,2;12,3;10,0;889,2;889,2;888,6;1,0;88,0;2,3;449,27;0,0;
16/07/2021;1200;21,1;21,3;19,4;48,0;56,0;48,0;9,8;10,5;9,5;890,0;890,0;889,2;2,7;63,0;4,8;1254,44;0,0;
16/07/2021;1300;22,9;23,4;21,1;43,0;48,0;42,0;9,7;10,1;9,1;890,2;890,3;890,0;2,7;67,0;5,6;1963,13;0,0;
16/07/2021;1400;24,1;24,3;22,8;39,0;44,0;39,0;9,4;9,9;9,0;889,8;890,2;889,8;3,0;85,0;6,0;2495,32;0,0;
16/07/2021;1500;25,3;25,7;23,9;37,0;40,0;36,0;9,5;10,2;9,0;888,9;889,8;888,9;1,9;64,0;6,0;2782,42;0,0;
16/07/2021;1600;26,6;26,7;25,1;32,0;38,0;32,0;8,6;10,2;8,6;888,0;888,9;888,0;2,7;354,0;6,2;2720,41;0,0;
16/07/2021;1700;26,8;27,4;25,8;31,0;33,0;31,0;8,3;9,3;7,8;887,3;888,0;887,3;2,7;355,0;6,2;2690,23;0,0;
16/07/2021;1800;26,7;27,2;26,4;32,0;32,0;30,0;8,5;8,8;7,7;886,6;887,3;886,6;2,2;335,0;6,8;2286,66;0,0;
16/07/2021;1900;26,9;27,5;26,6;30,0;32,0;30,0;8,1;8,9;7,8;886,4;886,6;886,4;2,4;359,0;5,2;1692,22;0,0;
