CNES,Cod_Munic_Estab,Competencia,Cod_Proc_Amb,Qtde_produzida
2614634,150553,201512,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201508,0209010037,1
2614634,150553,201509,0209010037,1
2614634,150553,201509,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010029,1
2614634,150553,201508,0209010029,1
2614634,150553,201510,0209010029,1
2614634,150553,201510,0209010029,1
2614634,150553,201511,0209010029,1
2614634,150553,201511,0209010029,1
2614634,150553,201512,0209010029,1
2614634,150553,201512,0209010029,1
2614634,150553,201512,0209010029,1
2614634,150553,201512,0209010029,1
2614634,150553,201508,0206010028,1
2614634,150553,201508,0206020031,1
2614634,150553,201508,0206030010,1
2614634,150553,201508,0206030010,1
2614634,150553,201508,0206030010,1
2614634,150553,201508,0206010028,1
2614634,150553,201509,0206030010,1
2614634,150553,201510,0206020031,1
2614634,150553,201510,0206010010,1
2614634,150553,201510,0206030037,1
2614634,150553,201510,0206020031,1
2614634,150553,201511,0207010030,1
2614634,150553,201511,0206030037,1
2614634,150553,201511,0206020031,1
2614634,150553,201510,0206030037,1
2614634,150553,201510,0207010048,1
2614634,150553,201510,0207010064,1
2614634,150553,201510,0207030030,1
2614634,150553,201510,0207010048,1
2614634,150553,201510,0206030010,1
2614634,150553,201510,0206030010,1
2614634,150553,201511,0207030030,1
2614634,150553,201511,0207010064,1
2614634,150553,201512,0207010048,1
2614634,150553,201511,0204060028,1
2614634,150553,201511,0204060028,1
2614634,150553,201511,0204060028,1
2614634,150553,201512,0204060028,1
2614634,150553,201512,0204060028,1
2614634,150553,201512,0204060028,1
2614634,150553,201512,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201509,0209010037,1
2614634,150553,201509,0209010037,1
2614634,150553,201509,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201511,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201512,0209010037,1
2614634,150553,201511,0211020052,1
2614634,150553,201511,0211020052,1
2614634,150553,201511,0211020052,1
2614634,150553,201511,0211020052,1
2614634,150553,201512,0211020052,1
2614634,150553,201511,0209010029,1
2614634,150553,201512,0209010029,1
2614634,150553,201511,0207010056,1
2614634,150553,201511,0207020027,1
2614634,150553,201511,0207010048,1
2614634,150553,201511,0207010030,1
2614634,150553,201511,0207010064,1
2614634,150553,201511,0207010030,1
2614634,150553,201512,0204060028,1
2614634,150553,201512,0204060028,1
2614634,150553,201510,0204060028,1
2614634,150553,201510,0209010037,1
2614634,150553,201510,0209010037,1
2614634,150553,201510,0209010037,1
2614634,150553,201510,0209010037,1
2614634,150553,201510,0209010037,1
2614634,150553,201510,0209010037,1
2614634,150553,201510,0209010037,1
2614634,150553,201602,0209010037,1
2614634,150553,201602,0209010037,1
2614634,150553,201602,0209010037,1
2614634,150553,201602,0209010037,1
2614634,150553,201602,0209010037,1
2614634,150553,201602,0209010037,1
2614634,150553,201602,0209010029,1
2614634,150553,201608,0209010029,1
2614634,150553,201608,0209010037,1
2614634,150553,201608,0209010029,1
2614634,150553,201608,0209010029,1
2614634,150553,201608,0209010037,1
2614634,150553,201601,0209010029,1
2614634,150553,201601,0209010029,1
2614634,150553,201601,0206030037,1
2614634,150553,201601,0206020031,1
2614634,150553,201602,0206030037,1
2614634,150553,201602,0206030037,1
2614634,150553,201601,0206010044,1
2614634,150553,201601,0206020015,1
2614634,150553,201601,0206010010,1
2614634,150553,201601,0206020031,1
2614634,150553,201601,0206020031,1
2614634,150553,201601,0206030037,1
2614634,150553,201601,0206020031,1
2614634,150553,201601,0206020031,1
2614634,150553,201601,0206030037,1
2614634,150553,201601,0206020031,1
