id_municipio,qtd_primeirasdoses
2311207,7253
5205109,86512
3133758,12312
3106200,2145335
3133105,12220
3162559,8062
2307650,162138
3527405,17116
2909802,46469
4312658,14796
2919504,36244
2700300,163812
2704302,760462
3144102,18264
4202909,104031
4211900,149286
4208203,180531
4219002,16761
4208807,16332
4202602,6491
4207502,48837
2918001,122819
2930303,13259
3300936,12350
3300407,119749
3300233,29164
3548708,657871
3549904,602409
3554805,41082
4120606,39548
4127965,11854
4121000,8557
4128104,89622
4118204,122317
4311155,6109
4317103,61193
4322608,56565
4311403,68833
2313401,57037
3162104,32391
2926806,10303
2912103,17159
2901957,5673
2933604,30233
2930501,60262
2919801,29064
2413409,5945
2408102,662845
2407708,10052
2408003,221702
2411007,3714
2924009,84753
2914901,16933
2906006,48197
2905156,7626
2915601,32304
5102637,28502
5106505,27289
2604007,58089
2613909,62695
2607752,23940
2611804,26815
2616183,6366
2615409,28814
2614808,15003
2613107,29585
2603504,12444
3139003,29220
3135506,8819
3170479,2848
5201405,420735
3300456,305482
3537008,15052
1701903,4334
1720937,1473
1713205,13139
3119708,2938
2505352,3609
2511301,12196
4102505,8531
4126256,94276
4304606,276525
2111300,887252
2100477,18391
2106607,21258
2102200,18765
2100055,65750
2103000,118319
2107605,13012
4107207,33773
4113205,37633
4117602,35759
3111002,17160
3111101,15400
3128709,39425
3160405,21473
2925204,26872
4119954,24405
4124103,35192
2512101,26588
2513901,24918
2516201,49724
4304507,44279
4305108,384885
4309308,73157
4305009,7350
2503209,53165
2514503,15076
2500809,12687
2906204,19262
2919553,60286
2928406,21798
2902104,34474
1721208,15224
1716505,9325
1720499,3011
2601102,61756
3305802,120456
3305554,55773
4110805,8381
4125209,7864
4118501,72814
4113908,10569
4127601,13544
3510609,283163
3545308,36590
3157807,154664
3126000,6047
3149309,45769
3554706,7998
3520509,210932
4103057,6502
4120804,17737
2304285,47859
2210623,2923
2208908,4793
2208007,64312
2931806,8154
2909901,23000
2926400,22717
2704500,21189
2701308,11839
2701357,4103
2608750,17859
2615805,15233
1502103,85842
1502756,21522
1501303,88370
1505031,14798
1500800,350756
1504950,9267
4111555,5809
2930766,8282
2900801,14337
3542701,5863
3511102,99358
3522307,141984
3546603,29876
4104006,36825
2906824,11381
2911857,12323
2932804,12258
2912509,10345
2911105,18539
2926707,11248
3557006,87921
5105150,33253
1702406,7897
1710904,2660
1718006,1978
1708205,12745
1702554,12046
2608909,48964
2612455,10437
2608255,8393
2602803,37870
2608800,32277
2917300,16088
5002704,666778
5008305,97725
5004106,7393
5003488,7961
5003256,18987
2515807,6024
2500502,10493
3304144,94311
3105608,108013
3150802,12057
4311007,21556
4321469,2526
4110300,2276
4111506,26841
5205471,8226
5211503,84129
5205497,55318
4308003,5676
4110078,9411
4120101,3531
4106803,13487
2931103,6175
2903805,12211
2931004,10972
2501351,3137
2515104,8546
3303203,108255
3137908,3121
3160306,8043
3106408,7117
3104502,13276
3135100,44260
2500403,15573
4303509,52033
4309407,20196
2917003,25595
3120805,13354
3120904,66118
4120002,9651
2605202,46499
2502508,13384
3539509,27983
3536505,86646
3544004,26288
3533502,32892
4216404,6449
3542602,47418
3533403,46735
3522802,11980
3205200,396421
3204906,101016
3201001,12232
3203163,9803
3508009,16439
3530300,49751
3555000,57898
3143005,11875
3157401,4392
3526209,26295
3531001,1761
3161650,2445
3154101,7817
4211702,18816
4209607,11440
4202305,56863
4203303,9806
3510005,24788
3514106,20762
3550803,9074
3500808,3890
3506607,24499
1600303,333105
3149606,3403
3134400,28459
3525607,3516
1702703,2557
1300508,22169
1200203,66260
2801405,15814
2801009,13905
2807402,39036
2807600,9045
2803708,5476
4109609,31193
2101004,14665
2100808,10525
2106375,5984
2102077,6960
2113009,18506
2102556,7806
3556404,64819
3504503,77275
3543907,153499
1100205,366758
1100130,21785
1100502,6235
2707305,15973
2706703,41850
2404200,20673
2403301,4716
2409407,21436
3127206,3692
3135001,2452
3142403,6247
3136553,3487
3138351,3484
2403608,26871
2702108,10158
2701803,5665
4314001,6059
3158201,10084
3106002,7531
2925907,20305
2918753,9511
5001904,18084
5004601,14468
5007505,4277
5206206,45141
3556701,63886
3500709,35196
3527306,40988
5217302,25541
