COD_UF,NOME_ESTADO,UF,POP_ESTADO
11,Rondônia,RO,1796460
12,Acre,AC,894470
13,Amazonas,AM,4207714
14,Roraima,RR,631181
15,Pará,PA,8690745
16,Amapá,AP,861773
17,Tocantins,TO,1590248
21,Maranhão,MA,7114598
22,Piauí,PI,3281480
23,Ceará,CE,9187103
24,Rio Grande do Norte,RN,3534165
25,Paraíba,PB,4039277
26,Pernambuco,PE,9616621
27,Alagoas,AL,3351543
28,Sergipe,SE,2318822
29,Bahia,BA,14930634
31,Minas Gerais,MG,21292666
32,Espírito Santo,ES,4064052
33,Rio de Janeiro,RJ,17366189
35,São Paulo,SP,46289333
41,Paraná,PR,11516840
42,Santa Catarina,SC,7252502
43,Rio Grande do Sul,RS,11422973
50,Mato Grosso do Sul,MS,2809394
51,Mato Grosso,MT,3526220
52,Goiás,GO,7113540
53,Distrito Federal,DF,3055149
