Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
16/07/2021;0100;17,1;18,9;17,0;68,0;68,0;58,0;11,1;11,1;10,3;934,8;934,9;934,6;0,1;199,0;1,8;;0,0;
16/07/2021;0200;16,9;17,9;16,7;70,0;70,0;65,0;11,3;11,5;10,9;934,6;934,9;934,6;0,0;330,0;0,9;;0,0;
16/07/2021;0300;16,3;17,0;16,1;76,0;78,0;69,0;12,1;12,6;11,1;934,3;934,6;934,3;1,0;348,0;2,2;;0,0;
16/07/2021;0400;15,0;16,3;15,0;82,0;82,0;76,0;12,0;12,7;12,0;934,0;934,4;934,0;0,0;9,0;2,2;;0,0;
16/07/2021;0500;14,4;15,2;14,3;85,0;85,0;81,0;11,8;12,2;11,5;933,6;934,0;933,6;0,1;335,0;0,9;;0,0;
16/07/2021;0600;13,6;14,4;13,6;83,0;86,0;81,0;10,7;11,8;10,5;933,4;933,6;933,4;0,5;75,0;2,3;;0,0;
16/07/2021;0700;13,2;13,6;12,9;86,0;86,0;83,0;11,0;11,0;10,2;933,5;933,5;933,2;0,1;357,0;1,2;;0,0;
16/07/2021;0800;12,6;13,3;12,5;89,0;89,0;86,0;10,8;11,1;10,6;933,9;933,9;933,5;0,1;42,0;0,9;;0,0;
16/07/2021;0900;12,1;12,6;12,1;89,0;90,0;89,0;10,4;10,9;10,3;934,0;934,0;933,8;0,0;9,0;0,6;;0,0;
16/07/2021;1000;12,3;12,3;11,9;91,0;91,0;89,0;10,8;10,8;10,2;934,5;934,5;934,0;0,0;217,0;0,4;41,29;0,0;
16/07/2021;1100;16,3;18,3;12,3;74,0;91,0;74,0;11,8;16,2;10,8;935,2;935,2;934,5;0,2;182,0;1,0;647,02;0,0;
16/07/2021;1200;22,6;22,6;16,4;49,0;74,0;49,0;11,4;12,3;10,6;935,5;935,6;935,2;0,1;131,0;1,4;1358,56;0,0;
16/07/2021;1300;25,6;25,6;21,7;42,0;50,0;42,0;11,9;12,4;10,5;935,1;935,5;935,1;1,0;205,0;2,1;1943,15;0,0;
16/07/2021;1400;28,6;29,0;25,4;27,0;43,0;27,0;7,6;12,2;7,3;934,5;935,1;934,5;1,5;247,0;3,2;2340,94;0,0;
16/07/2021;1500;29,9;30,2;27,6;25,0;30,0;24,0;7,9;9,4;7,3;933,5;934,5;933,5;1,1;252,0;5,9;2566,39;0,0;
16/07/2021;1600;30,5;30,9;29,5;25,0;27,0;23,0;8,5;9,0;6,7;932,5;933,5;932,5;1,6;180,0;5,3;2551,50;0,0;
16/07/2021;1700;31,4;31,8;29,9;24,0;27,0;22,0;8,1;9,4;7,1;931,4;932,5;931,4;1,1;160,0;5,0;2297,18;0,0;
16/07/2021;1800;31,2;32,0;30,5;23,0;25,0;21,0;7,4;8,6;6,6;931,0;931,4;931,0;1,4;233,0;4,9;1839,40;0,0;
16/07/2021;1900;30,4;31,5;30,2;23,0;23,0;21,0;6,7;7,7;5,9;930,9;931,0;930,8;1,4;315,0;5,5;640,35;0,0;
16/07/2021;2000;27,4;30,5;27,4;28,0;28,0;22,0;7,6;7,6;6,2;931,2;931,2;930,9;0,3;341,0;4,5;186,74;0,0;
16/07/2021;2100;24,7;27,6;24,7;34,0;34,0;28,0;7,8;8,3;7,5;931,7;931,7;931,2;0,5;2,0;2,8;30,02;0,0;
16/07/2021;2200;22,5;24,7;22,0;44,0;46,0;34,0;9,7;10,0;7,7;932,0;932,0;931,7;0,3;351,0;1,4;;0,0;
16/07/2021;2300;20,5;22,6;20,4;57,0;57,0;44,0;11,7;11,7;9,7;932,6;932,6;932,0;0,4;295,0;1,5;;0,0;
17/07/2021;0000;19,1;20,7;18,8;68,0;68,0;56,0;12,9;12,9;11,5;932,8;932,8;932,6;0,1;159,0;1,5;;0,0;
17/07/2021;0100;17,9;19,3;17,9;71,0;72,0;67,0;12,7;13,0;12,3;933,0;933,1;932,8;0,0;40,0;1,0;;0,0;
17/07/2021;0200;17,0;17,9;16,8;75,0;76,0;71,0;12,6;12,7;12,2;933,0;933,1;932,9;0,0;98,0;0,6;;0,0;
17/07/2021;0300;16,2;17,0;16,1;76,0;79,0;75,0;11,9;12,7;11,9;933,5;933,5;932,9;0,2;3,0;1,2;;0,0;
17/07/2021;0400;15,3;16,3;15,3;81,0;81,0;76,0;12,0;12,6;11,9;933,5;933,6;933,4;0,0;202,0;1,8;;0,0;
17/07/2021;0500;15,1;15,8;14,8;84,0;85,0;81,0;12,4;12,7;11,9;933,3;933,5;933,3;0,0;293,0;0,9;;0,0;
17/07/2021;0600;14,2;15,2;14,2;87,0;87,0;83,0;12,0;12,4;11,7;933,3;933,4;933,3;0,0;206,0;0,9;;0,0;
17/07/2021;0700;14,1;14,4;14,0;88,0;88,0;86,0;12,1;12,3;11,7;933,6;933,6;933,3;0,1;342,0;0,7;;0,0;
