COD_UF,NOME_ESTADO,UF, Teto_MAC_2017 , Teto_MAC_2018 , Teto_MAC_2019 , Teto_MAC_2020 
11,Rondônia,RO,362864032.1,394010895.9,400951236.2,404595059.6
12,Acre,AC,195129369.4,199135379.1,204467731.3,204812002.5
13,Amazonas,AM,564904103.7,564427216.8,574031095.4,565235001
14,Roraima,RR,120716993.6,133923874.3,136797144.4,136993371.1
15,Pará,PA,1149954476,1181003845,1267016646,1297795491
16,Amapá,AP,119002108.1,120357331.5,125937007.2,130177931.9
17,Tocantins,TO,378195680.3,380542760.7,415549866.2,420727227.7
21,Maranhão,MA,1069956802,1076319600,1126598818,1142696347
22,Piauí,PI,717294719.3,731394819.7,740004956.8,749193631.2
23,Ceará,CE,1846923268,1913311515,1980076565,2047503909
24,Rio Grande do Norte,RN,628800447,646995710.5,703292816.6,716361022.4
25,Paraíba,PB,737099906.5,776086757.8,829982930.4,847289395.4
26,Pernambuco,PE,2052108689,2183874152,2223275047,2256472165
27,Alagoas,AL,785480990.8,815716452.6,837076240.6,840698910
28,Sergipe,SE,476986587.9,491771455.4,501461031.4,507869633.8
29,Bahia,BA,2814499517,2958074583,3108387771,3166768368
31,Minas Gerais,MG,4414170574,4606204735,4966742155,5055285298
32,Espírito Santo,ES,768630562.1,812835807,829861968.4,864230497.9
33,Rio de Janeiro,RJ,3503655355,3548523871,3669629369,3892301851
35,São Paulo,SP,8605886785,8998975798,9258555345,9432350154
41,Paraná,PR,2581839066,2662467974,2744687983,2793584697
42,Santa Catarina,SC,1365598295,1536016792,1585930226,1606933130
43,Rio Grande do Sul,RS,2524061426,2681878369,2881230236,3014948868
50,Mato Grosso do Sul,MS,640322860.6,648619169.1,701313859,725262732.1
51,Mato Grosso,MT,629456816.8,633031067,681874069.8,707430928.1
52,Goiás,GO,1177603787,1260485800,1383634893,1423168302
53,Distrito Federal,DF,481256113.4,474700532.2,492002691.8,522614695.3
