cod_uf,estado,indice,oferta_serv
12,Acre,1.467876410,0.681256265
16,Amapá,1.000000000,1.000000000
13,Amazonas,1.000000000,1.000000000
15,Pará,1.000000000,1.000000000
11,Rondônia,1.743546167,0.573543746
14,Roraima,2.647881466,0.377660410
17,Tocantins,2.146689834,0.465833482
27,Alagoas,1.000000000,1.000000000
29,Bahia,1.830774004,0.546217063
23,Ceará,1.681603301,0.594670574
21,Maranhão,1.289720704,0.775361671
25,Paraíba,2.342042186,0.426977791
26,Pernambuco,2.147086315,0.465747461
22,Piauí,1.000000000,1.000000000
24,Rio Grande do Norte,1.690630409,0.591495335
28,Sergipe,1.724429325,0.579901991
53,Distrito Federal,1.000000000,1.000000000
52,Goiás,4.109238543,0.243354088
51,Mato Grosso,2.656709814,0.376405430
50,Mato Grosso do Sul,2.064954733,0.484272117
32,Espírito Santo,1.375149343,0.727193745
31,Minas Gerais,1.000000000,1.000000000
33,Rio de Janeiro,1.221992714,0.818335485
35,São Paulo,1.000000000,1.000000000
41,Paraná,1.000000000,1.000000000
43,Rio Grande do Sul,1.000000000,1.000000000
42,Santa Catarina,1.000000000,1.000000000
