ranking;grupo_n;score;co_mun;no_mun;uf;desemp_medio_ideb;qt_iniciativas;media_prioridade_operacional;idh_2010;media_prioridade_obra;dist_id_serie;label_media_ideb;label_iniciativas;label_prioridade_oper;label_idh;label_prioridade_obra;label_dist_id_serie
1;6;-0,205541735;3166204;Senhora dos Remédios;MG;0,010229544;0,025585763;0,010360541;0,035116752;0,040810986;0,025585763;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
2;6;-0,205541692;3133907;Itaverava;MG;0,010229544;0,025585763;0,010360541;0,035131978;0,040810986;0,025585763;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
3;6;-0,205541176;3147501;Passabém;MG;0,010229544;0,025585763;0,010360541;0,035360356;0,040810986;0,025585763;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
4;6;-0,205540934;3137908;Lamim;MG;0,010229544;0,025585763;0,010360541;0,035558284;0,040810986;0,025585763;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
5;6;-0,200976314;3171154;Vermelho Novo;MG;0,009781448;0,025585763;0,010360541;0,034903599;0,040810986;0,03015333;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
6;6;-0,199469396;3162658;São João do Pacuí;MG;0,007938467;0,025585763;0,010360541;0,035101527;0,040810986;0,031675852;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
7;6;-0,199454522;3104452;Aricanduva;MG;0,010418106;0,025585763;0,010360541;0,034446843;0,040810986;0,031675852;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
8;6;-0,197930989;3102852;Angelândia;MG;0,010229544;0,025585763;0,010360541;0,034675221;0,040810986;0,033198374;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
9;6;-0,19793085;3150802;Piranga;MG;0,010184231;0,025585763;0,010360541;0,034720897;0,040810986;0,033198374;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
10;6;-0,196501825;2304350;Forquilha;CE;0,004474145;0,025585763;0,010360541;0,035390806;0,040810986;0,034720897;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
11;6;-0,196415067;3115706;Central de Minas;MG;0,008670239;0,025585763;0,010360541;0,035710536;0,040810986;0,034720897;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
12;6;-0,1964072;3138906;Machacalis;MG;0,009864374;0,025585763;0,010360541;0,035329905;0,040810986;0,034720897;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
13;6;-0,193362788;3165909;Senador Modestino Gonçalves;MG;0,009926969;0,025585763;0,010360541;0,035025401;0,040810986;0,037765941;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
14;6;-0,193362124;3109253;Bugre;MG;0,010021104;0,025585763;0,010360541;0,035131978;0,040810986;0,037765941;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
15;6;-0,19336081;3112307;Capelinha;MG;0,010229544;0,025585763;0,010360541;0,035527833;0,040810986;0,037765941;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
16;6;-0,193360645;3162609;São João do Oriente;MG;0,010384234;0,025585763;0,010360541;0,035451707;0,040810986;0,037765941;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
17;6;-0,191840758;3145455;Olhos-D'Água;MG;0,009738071;0,025585763;0,010360541;0,035116752;0,040810986;0,039288463;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
18;6;-0,191840555;3139250;Mamonas;MG;0,009884467;0,025585763;0,010360541;0,034994951;0,040810986;0,039288463;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
19;6;-0,190329342;3136553;José Raydan;MG;0,008426869;0,025585763;0,010360541;0,034979725;0,040810986;0,040810986;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
20;6;-0,190317171;3171907;Virgolândia;MG;0,01012173;0,025585763;0,010360541;0,035025401;0,040810986;0,040810986;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
21;6;-0,190315977;3140308;Marliéria;MG;0,01012173;0,025585763;0,010360541;0,035588734;0,040810986;0,040810986;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
22;6;-0,188799254;3162575;São João do Manteninha;MG;0,00910286;0,025585763;0,010360541;0,035329905;0,040810986;0,042333508;alta_media_ideb;baixo_iniciativas;alta_prioridade_oper;intermediario_idh;alta_prioridade_obra;baixo_dist_id_serie
23;6;-0,188796411;3150570;Pintópolis;MG;0,010162907;0,025585763;0,010360541;0,034629545;0,040810986;0,042333508;intermediario_media_ideb;baixo_iniciativas;alta_prioridade_oper;baixo_idh;alta_prioridade_obra;baixo_dist_id_serie
