 Produção Ambulatorial do SUS - por gestor -  Brasil
Qtd.aprovada por Município gestor e Ano processamento
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";320128;283438;296710;229353;1129629
"110037 Alto Alegre dos Parecis";41785;59188;54753;68619;224345
"110040 Alto Paraíso";175613;110292;497102;133799;916806
"110034 Alvorada D'Oeste";109191;113549;65996;20718;309454
"110002 Ariquemes";840950;1071912;1400303;1244865;4558030
"110045 Buritis";124041;59691;108858;239853;532443
"110003 Cabixi";60769;54902;63621;34407;213699
"110060 Cacaulândia";17232;23020;25397;32210;97859
"110004 Cacoal";913225;548287;590852;439567;2491931
"110070 Campo Novo de Rondônia";412265;372702;223826;156806;1165599
"110080 Candeias do Jamari";188045;130693;134983;33589;487310
"110090 Castanheiras";40816;25835;33154;22471;122276
"110005 Cerejeiras";201240;192007;176586;127412;697245
"110092 Chupinguaia";108018;71641;98526;216314;494499
"110006 Colorado do Oeste";136767;102530;132198;124272;495767
"110007 Corumbiara";211837;33504;37419;21062;303822
"110008 Costa Marques";54788;27276;60434;47864;190362
"110094 Cujubim";140151;157796;162297;1029623;1489867
"110009 Espigão D'Oeste";434780;266389;454515;293469;1449153
"110100 Governador Jorge Teixeira";101260;79095;136184;407011;723550
"110010 Guajará-Mirim";462950;264346;288916;305618;1321830
"110110 Itapuã do Oeste";174833;155710;165760;92491;588794
"110011 Jaru";872394;1132133;1262668;1445920;4713115
"110012 Ji-Paraná";5390815;5216763;6169418;2329136;19106132
"110013 Machadinho D'Oeste";270765;274971;266947;260395;1073078
"110120 Ministro Andreazza";62692;6888;6568;3684;79832
"110130 Mirante da Serra";73937;76880;52832;57129;260778
"110140 Monte Negro";137276;183307;113855;99793;534231
"110014 Nova Brasilândia D'Oeste";74403;193666;173322;109134;550525
"110033 Nova Mamoré";222737;184873;130740;136666;675016
"110143 Nova União";32164;31955;48349;36945;149413
"110050 Novo Horizonte do Oeste";59807;47217;35420;24054;166498
