 Produção Ambulatorial do SUS - por gestor -  Brasil
Valor aprovado por Município gestor e Ano processamento
Financiamento: 05 Incentivo - MAC, 06 Média e Alta Complexidade (MAC)
Período:2017-2020
"Município gestor";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";621403,84;625953,26;648806,99;650691,20;2546855,29
"110037 Alto Alegre dos Parecis";11386,19;182484,07;146321,52;185304,33;525496,11
"110040 Alto Paraíso";24215,94;42984,93;213873,05;251764,14;532838,06
"110034 Alvorada D'Oeste";264871,45;366903,28;287068,43;20037,86;938881,02
"110002 Ariquemes";4425683,48;4928124,22;6406874,89;5198273,92;20958956,51
"110045 Buritis";288426,15;264496,40;431605,34;557900,34;1542428,23
"110003 Cabixi";60788,08;70711,74;70390,96;85372,20;287262,98
"110060 Cacaulândia";61618,59;76026,35;72082,47;62017,07;271744,48
"110004 Cacoal";3533728,88;3079016,85;3854142,48;2849552,88;13316441,09
"110070 Campo Novo de Rondônia";116411,21;172605,08;148428,43;93853,28;531298,00
"110080 Candeias do Jamari";350360,06;463243,13;328296,15;80038,90;1221938,24
"110090 Castanheiras";956,20;64313,13;86575,87;54048,39;205893,59
"110005 Cerejeiras";291596,28;290827,39;348060,88;433301,69;1363786,24
"110092 Chupinguaia";29993,89;34260,95;64559,53;70717,92;199532,29
"110006 Colorado do Oeste";189578,37;188289,35;439883,72;555813,29;1373564,73
"110007 Corumbiara";19981,51;27685,33;-;-;47666,84
"110008 Costa Marques";69748,21;133368,96;241124,65;194710,47;638952,29
"110094 Cujubim";308115,09;406897,98;527635,97;484882,06;1727531,10
"110009 Espigão D'Oeste";601509,15;1006297,34;1897815,28;1142168,62;4647790,39
"110100 Governador Jorge Teixeira";58794,68;54831,64;112688,02;23284,62;249598,96
"110010 Guajará-Mirim";1309291,10;1149058,19;1028675,72;823539,77;4310564,78
"110110 Itapuã do Oeste";61486,76;126771,63;582512,94;458396,67;1229168,00
"110011 Jaru";4072820,71;5386423,09;5622936,05;5761562,48;20843742,33
"110012 Ji-Paraná";20954816,43;21411645,21;20658970,04;12838263,06;75863694,74
"110013 Machadinho D'Oeste";808017,09;990230,98;1080545,24;1048260,68;3927053,99
"110120 Ministro Andreazza";14864,59;-;-;-;14864,59
"110130 Mirante da Serra";145174,26;174803,43;137751,58;224673,22;682402,49
"110140 Monte Negro";312812,61;515993,54;296211,40;321286,26;1446303,81
"110014 Nova Brasilândia D'Oeste";53848,31;176237,50;260779,07;222677,10;713541,98
"110033 Nova Mamoré";360867,01;374128,36;535094,46;479699,88;1749789,71
"110143 Nova União";30801,70;-;169359,73;167724,99;367886,42
"110050 Novo Horizonte do Oeste";43682,45;34967,09;17850,58;27588,09;124088,21
"110015 Ouro Preto do Oeste";1118033,73;1147171,17;1382967,82;764239,09;4412411,81
"110145 Parecis";-;-;29,00;258,07;287,07
