Número_da_Publicação,Assunto,Região,Estado, Total 
GM 03896/2020,PANDEMIA,NORTE,AC," R$ 13,296,294.00 "
GM 03896/2020,PANDEMIA,NORTE,AM," R$ 25,490,722.40 "
GM 03896/2020,PANDEMIA,NORTE,AP," R$ 13,685,332.23 "
GM 03896/2020,PANDEMIA,NORTE,PA," R$ 43,874,385.12 "
GM 03896/2020,PANDEMIA,NORTE,RO," R$ 17,744,382.76 "
GM 03896/2020,PANDEMIA,NORTE,RR," R$ 12,730,510.25 "
GM 03896/2020,PANDEMIA,NORTE,TO," R$ 15,674,224.56 "
GM 03896/2020,PANDEMIA,NORDESTE,AL," R$ 23,141,077.58 "
GM 03896/2020,PANDEMIA,NORDESTE,BA," R$ 54,434,323.27 "
GM 03896/2020,PANDEMIA,NORDESTE,CE," R$ 44,131,782.89 "
GM 03896/2020,PANDEMIA,NORDESTE,MA," R$ 37,859,022.09 "
GM 03896/2020,PANDEMIA,NORDESTE,PB," R$ 25,018,031.79 "
GM 03896/2020,PANDEMIA,NORDESTE,PE," R$ 32,722,607.54 "
GM 03896/2020,PANDEMIA,NORDESTE,PI," R$ 20,433,640.94 "
GM 03896/2020,PANDEMIA,NORDESTE,RN," R$ 20,476,969.66 "
GM 03896/2020,PANDEMIA,NORDESTE,SE," R$ 16,867,515.74 "
GM 03896/2020,PANDEMIA,SUDESTE,ES," R$ 22,890,102.11 "
GM 03896/2020,PANDEMIA,SUDESTE,MG," R$ 51,862,770.93 "
GM 03896/2020,PANDEMIA,SUDESTE,RJ," R$ 44,142,637.33 "
GM 03896/2020,PANDEMIA,SUDESTE,SP," R$ 126,522,037.20 "
GM 03896/2020,PANDEMIA,SUL,PR," R$ 39,586,166.76 "
GM 03896/2020,PANDEMIA,SUL,RS," R$ 39,439,404.96 "
GM 03896/2020,PANDEMIA,SUL,SC," R$ 32,623,321.31 "
GM 03896/2020,PANDEMIA,CENTRO-OESTE,DF," R$ 17,560,996.28 "
GM 03896/2020,PANDEMIA,CENTRO-OESTE,GO," R$ 33,424,249.39 "
GM 03896/2020,PANDEMIA,CENTRO-OESTE,MS," R$ 17,190,821.45 "
GM 03896/2020,PANDEMIA,CENTRO-OESTE,MT," R$ 21,176,669.42 "
GM 03888/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA," R$ 1,077,120.00 "
GM 03855/2020,PANDEMIA,SUDESTE,SP," R$ 60,000,000.00 "
GM 03805/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 8,875,468.80 "
GM 03789/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN," R$ 1,292,544.00 "
GM 03786/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 430,848.00 "
GM 03785/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 86,169.60 "
GM 03784/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,RJ," R$ 215,424.00 "
GM 03783/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF," R$ 4,351,564.80 "
GM 03782/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT," R$ 1,120,204.80 "
GM 03781/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 387,763.20 "
GM 03775/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA," R$ 215,424.00 "
GM 03772/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 775,526.40 "
GM 03758/2020,UTI,SUDESTE,MG," R$ 768,000.00 "
GM 03758/2020,UTI,SUDESTE,SP," R$ 2,976,000.00 "
GM 03729/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,SC," R$ 172,339.20 "
GM 03680/2020,UTI,SUL,PR," R$ 18,528,000.00 "
GM 03680/2020,UTI,SUL,RS," R$ 2,880,000.00 "
GM 03680/2020,UTI,CENTRO-OESTE,MS," R$ 1,440,000.00 "
GM 03651/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI," R$ 517,017.60 "
GM 03646/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG," R$ 3,231,360.00 "
GM 03644/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS," R$ 387,763.20 "
GM 03642/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO," R$ 603,187.20 "
GM 03640/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT," R$ 172,339.20 "
GM 03639/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP," R$ 1,723,392.00 "
GM 03638/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN," R$ 904,780.80 "
GM 03576/2020,UTI,NORTE,TO," R$ 3,744,000.00 "
GM 03576/2020,UTI,NORDESTE,AL," R$ 1,440,000.00 "
GM 03576/2020,UTI,NORDESTE,BA," R$ 29,808,000.00 "
GM 03576/2020,UTI,NORDESTE,CE," R$ 1,440,000.00 "
GM 03576/2020,UTI,NORDESTE,PB," R$ 2,304,000.00 "
GM 03576/2020,UTI,NORDESTE,PE," R$ 22,896,000.00 "
GM 03576/2020,UTI,NORDESTE,PI," R$ 7,920,000.00 "
GM 03576/2020,UTI,NORDESTE,RN," R$ 14,976,000.00 "
GM 03576/2020,UTI,NORDESTE,SE," R$ 1,728,000.00 "
GM 03576/2020,UTI,SUDESTE,ES," R$ 8,928,000.00 "
GM 03576/2020,UTI,SUDESTE,MG," R$ 27,360,000.00 "
GM 03576/2020,UTI,SUDESTE,RJ," R$ 10,368,000.00 "
