Número da Publicação,Assunto,Região,Estado,Total
GM 03896/2020,PANDEMIA,NORTE,AC,13296294.00
GM 03896/2020,PANDEMIA,NORTE,AM,25490722.40
GM 03896/2020,PANDEMIA,NORTE,AP,13685332.23
GM 03896/2020,PANDEMIA,NORTE,PA,43874385.12
GM 03896/2020,PANDEMIA,NORTE,RO,17744382.76
GM 03896/2020,PANDEMIA,NORTE,RR,12730510.25
GM 03896/2020,PANDEMIA,NORTE,TO,15674224.56
GM 03896/2020,PANDEMIA,NORDESTE,AL,23141077.58
GM 03896/2020,PANDEMIA,NORDESTE,BA,54434323.27
GM 03896/2020,PANDEMIA,NORDESTE,CE,44131782.89
GM 03896/2020,PANDEMIA,NORDESTE,MA,37859022.09
GM 03896/2020,PANDEMIA,NORDESTE,PB,25018031.79
GM 03896/2020,PANDEMIA,NORDESTE,PE,32722607.54
GM 03896/2020,PANDEMIA,NORDESTE,PI,20433640.94
GM 03896/2020,PANDEMIA,NORDESTE,RN,20476969.66
GM 03896/2020,PANDEMIA,NORDESTE,SE,16867515.74
GM 03896/2020,PANDEMIA,SUDESTE,ES,22890102.11
GM 03896/2020,PANDEMIA,SUDESTE,MG,51862770.93
GM 03896/2020,PANDEMIA,SUDESTE,RJ,44142637.33
GM 03896/2020,PANDEMIA,SUDESTE,SP,126522037.23
GM 03896/2020,PANDEMIA,SUL,PR,39586166.76
GM 03896/2020,PANDEMIA,SUL,RS,39439404.96
GM 03896/2020,PANDEMIA,SUL,SC,32623321.31
GM 03896/2020,PANDEMIA,CENTRO-OESTE,DF,17560996.28
GM 03896/2020,PANDEMIA,CENTRO-OESTE,GO,33424249.39
GM 03896/2020,PANDEMIA,CENTRO-OESTE,MS,17190821.45
GM 03896/2020,PANDEMIA,CENTRO-OESTE,MT,21176669.42
GM 03888/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,BA,1077120.00
GM 03855/2020,PANDEMIA,SUDESTE,SP,60000000.00
GM 03805/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,8875468.80
GM 03789/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN,1292544.00
GM 03786/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,430848.00
GM 03785/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,86169.60
GM 03784/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,RJ,215424.00
GM 03783/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,DF,4351564.80
GM 03782/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT,1120204.80
GM 03781/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,387763.20
GM 03775/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,MA,215424.00
GM 03772/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,775526.40
GM 03758/2020,UTI,SUDESTE,MG,768000.00
GM 03758/2020,UTI,SUDESTE,SP,2976000.00
GM 03729/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,SC,172339.20
GM 03680/2020,UTI,SUL,PR,18528000.00
GM 03680/2020,UTI,SUL,RS,2880000.00
GM 03680/2020,UTI,CENTRO-OESTE,MS,1440000.00
GM 03651/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,PI,517017.60
GM 03646/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,MG,3231360.00
GM 03644/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUL,RS,387763.20
GM 03642/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,GO,603187.20
GM 03640/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,CENTRO-OESTE,MT,172339.20
GM 03639/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,SUDESTE,SP,1723392.00
GM 03638/2020,LEITO COM SUPORTE VENTILATÓRIO PULMONAR,NORDESTE,RN,904780.80
GM 03576/2020,UTI,NORTE,TO,3744000.00
GM 03576/2020,UTI,NORDESTE,AL,1440000.00
GM 03576/2020,UTI,NORDESTE,BA,29808000.00
GM 03576/2020,UTI,NORDESTE,CE,1440000.00
GM 03576/2020,UTI,NORDESTE,PB,2304000.00
GM 03576/2020,UTI,NORDESTE,PE,22896000.00
GM 03576/2020,UTI,NORDESTE,PI,7920000.00
GM 03576/2020,UTI,NORDESTE,RN,14976000.00
GM 03576/2020,UTI,NORDESTE,SE,1728000.00
GM 03576/2020,UTI,SUDESTE,ES,8928000.00
GM 03576/2020,UTI,SUDESTE,MG,27360000.00
GM 03576/2020,UTI,SUDESTE,RJ,10368000.00
GM 03576/2020,UTI,SUDESTE,SP,31392000.00
GM 03576/2020,UTI,SUL,PR,7200000.00
GM 03576/2020,UTI,SUL,RS,9072000.00
GM 03576/2020,UTI,SUL,SC,11232000.00
GM 03576/2020,UTI,CENTRO-OESTE,MS,8064000.00
GM 03576/2020,UTI,CENTRO-OESTE,MT,4320000.00
GM 03575/2020,UTI,SUDESTE,SP,12192000.00
GM 03574/2020,UTI,NORTE,AM,8832000.00
GM 03574/2020,UTI,SUDESTE,SP,5760000.00
GM 03574/2020,UTI,SUL,RS,960000.00
GM 03574/2020,UTI,CENTRO-OESTE,GO,960000.00
GM 03573/2020,UTI,NORDESTE,MA,768000.00
GM 03573/2020,UTI,SUDESTE,MG,5760000.00
GM 03573/2020,UTI,SUDESTE,SP,2880000.00
GM 03571/2020,UTI,NORDESTE,PI,5088000.00
GM 03571/2020,UTI,SUDESTE,MG,3264000.00
GM 03570/2020,UTI,NORTE,AM,720000.00
GM 03570/2020,UTI,NORDESTE,AL,1440000.00
GM 03570/2020,UTI,SUDESTE,MG,720000.00
GM 03567/2020,UTI,NORTE,RO,960000.00
GM 03567/2020,UTI,NORDESTE,CE,960000.00
GM 03567/2020,UTI,SUDESTE,MG,8256000.00
GM 03567/2020,UTI,SUDESTE,SP,576000.00
GM 03567/2020,UTI,SUL,SC,960000.00
GM 03566/2020,UTI,NORTE,AC,1440000.00
GM 03566/2020,UTI,NORTE,AM,7920000.00
GM 03566/2020,UTI,NORTE,TO,3600000.00
GM 03566/2020,UTI,NORDESTE,AL,8928000.00
GM 03566/2020,UTI,NORDESTE,BA,2880000.00
