cod_uf,estado,indice,oferta_serv
12,Acre,1.676,0.597
16,Amapá,1.000,1.000
13,Amazonas,1.324,0.756
15,Pará,1.000,1.000
11,Rondônia,1.749,0.572
14,Roraima,2.577,0.388
17,Tocantins,2.196,0.455
27,Alagoas,1.000,1.000
29,Bahia,1.907,0.524
23,Ceará,1.710,0.585
21,Maranhão,1.277,0.783
25,Paraíba,2.319,0.431
26,Pernambuco,2.223,0.450
22,Piauí,1.000,1.000
24,Rio Grande do Norte,1.508,0.663
28,Sergipe,1.395,0.717
53,Distrito Federal,1.000,1.000
52,Goiás,3.892,0.257
51,Mato Grosso,2.844,0.352
50,Mato Grosso do Sul,2.227,0.449
32,Espírito Santo,1.389,0.720
31,Minas Gerais,1.000,1.000
33,Rio de Janeiro,1.232,0.812
35,São Paulo,1.000,1.000
41,Paraná,1.000,1.000
43,Rio Grande do Sul,1.000,1.000
42,Santa Catarina,1.000,1.000
