ind,Estado,indice,oferta_serv
1,Norte,1.572,0.728
2,Acre,1.468,0.681
3,Amapá,1.000,1.000
4,Amazonas,1.000,1.000
5,Pará,1.000,1.000
6,Rondônia,1.744,0.574
7,Roraima,2.648,0.378
8,Tocantins,2.147,0.466
9,Nordeste,1.634,0.664
10,Alagoas,1.000,1.000
11,Bahia,1.831,0.546
12,Ceará,1.682,0.595
13,Maranhão,1.290,0.775
14,Paraíba,2.342,0.427
15,Pernambuco,2.147,0.466
16,Piauí,1.000,1.000
17,Rio Grande do Norte,1.691,0.591
18,Sergipe,1.724,0.580
19,Centro-Oeste,2.458,0.526
20,Distrito Federal,1.000,1.000
21,Goiás,4.109,0.243
22,Mato Grosso,2.657,0.376
23,Mato Grosso do Sul,2.065,0.484
24,Sudeste,1.149,0.886
25,Espírito Santo,1.375,0.727
26,Minas Gerais,1.000,1.000
27,Rio de Janeiro,1.222,0.818
28,São Paulo,1.000,1.000
29,Sul,1.000,1.000
30,Paraná,1.000,1.000
31,Rio Grande do Sul,1.000,1.000
32,Santa Catarina,1.000,1.000
33,Brasil,1.598,0.731
