ind,estado,indice,oferta_serv
1,Norte*,1.646,0.681
2,Acre,1.676,0.597
3,Amapá,1,1
4,Amazonas,1.324,0.756
5,Pará,1,1
6,Rondônia,1.749,0.572
7,Roraima,2.577,0.388
8,Tocantins,2.196,0.455
9,Nordeste*,1.593,0.684
10,Alagoas,1,1
11,Bahia,1.907,0.524
12,Ceará,1.71,0.585
13,Maranhão,1.277,0.783
14,Paraíba,2.319,0.431
15,Pernambuco,2.223,0.45
16,Piauí,1,1
17,Rio Grande do Norte,1.508,0.663
18,Sergipe,1.395,0.717
19,Centro-Oeste*,2.491,0.515
20,Distrito Federal,1,1
21,Goiás,3.892,0.257
22,Mato Grosso,2.844,0.352
23,Mato Grosso do Sul,2.227,0.449
24,Sudeste*,1.155,0.883
25,Espírito Santo,1.389,0.72
26,Minas Gerais,1,1
27,Rio de Janeiro,1.232,0.812
28,São Paulo,1,1
29,Sul*,1,1
30,Paraná,1,1
31,Rio Grande do Sul,1,1
32,Santa Catarina,1,1
33,Brasil*,1.609,0.723
