UF,estado,casos_onco_sus_100k,obito_onco_sus_100k,dist_media,tx_evasao,ponto_qui_sus_100k,eq_rad_sus_100k,prof_onco_sus_100k
12,Acre,103.1800,62.7000,441.9400,66.3100,0.4769,0.2385,0.8346
16,Amapá,91.0400,58.2900,848.7300,62.9100,0.1282,0.0000,0.8974
13,Amazonas,115.3300,64.4900,54.5200,3.5900,0.4412,0.1654,0.6342
15,Pará,86.6400,59.5500,180.6500,8.5400,0.6158,0.1155,0.7697
11,Rondônia,118.1600,78.9400,181.1500,3.5400,0.2454,0.2454,1.2882
14,Roraima,97.4000,67.3500,1590.9800,85.4700,0.3464,0.0000,0.8660
17,Tocantins,133.5100,71.0200,217.3600,32.7500,0.1363,0.1363,1.2265
27,Alagoas,117.1600,73.8900,40.7800,1.7400,2.0217,0.1685,1.9880
29,Bahia,143.6200,87.5900,114.2100,2.0400,0.5569,0.1881,1.8060
23,Ceará,183.2000,102.8800,78.6500,0.1500,0.7498,0.2160,1.4741
21,Maranhão,100.5000,61.3200,78.3200,8.4500,0.6839,0.0760,0.5775
25,Paraíba,170.2300,103.3800,87.5000,1.7400,0.6651,0.1940,1.3580
26,Pernambuco,187.7100,98.8300,58.2600,0.3300,0.8279,0.1583,2.5689
22,Piauí,148.4800,86.3400,132.4500,0.2000,4.5096,0.1017,0.9155
24,Rio Grande do Norte,180.5000,102.0300,62.0400,0.3700,1.4661,0.1999,3.9318
28,Sergipe,158.7900,79.4800,45.7300,1.6900,0.3029,0.1514,3.4325
53,Distrito Federal,202.3000,93.1600,9.8600,1.8600,4.9015,0.1414,6.0326
52,Goiás,181.8100,95.8200,104.0300,16.2100,0.4637,0.0859,1.6487
51,Mato Grosso,160.4300,80.2400,277.7000,13.1000,1.5470,0.0688,1.4438
50,Mato Grosso do Sul,221.0300,102.6200,168.3400,32.0000,2.0137,0.1831,2.6544
32,Espírito Santo,202.8000,115.4900,45.7900,0.4500,1.0676,0.3099,2.1351
31,Minas Gerais,182.3000,112.4200,55.8000,3.9100,2.1838,0.3971,6.4459
33,Rio de Janeiro,246.8600,128.7400,18.8000,0.5900,1.4512,0.3355,3.8839
35,São Paulo,222.7000,125.4500,31.8600,0.1000,1.3507,0.3646,6.0694
41,Paraná,266.6600,127.1900,49.0100,0.6100,1.2233,0.4544,3.4719
43,Rio Grande do Sul,343.3200,172.0800,35.1400,0.0700,2.8869,0.3736,4.4491
42,Santa Catarina,250.2100,126.7900,31.1600,1.3200,9.5835,0.3347,3.5762
