UF,estado,pop,pop_sus
11,Rondônia,1777225,1630148
12,Acre,881935,838747
13,Amazonas,4144597,3626567
14,Roraima,605761,577355
15,Pará,8586781,7795321
16,Amapá,845731,780011
17,Tocantins,1572866,1467608
21,Maranhão,7054568,6579536
22,Piauí,3273227,2949283
23,Ceará,9132078,7868949
24,Rio Grande do Norte,3506853,3001194
25,Paraíba,4018127,3608259
26,Pernambuco,9557071,8213481
27,Alagoas,3337357,2967741
28,Sergipe,2298696,1981083
29,Bahia,14873064,13288875
31,Minas Gerais,21168791,16118850
32,Espírito Santo,4018650,2903820
33,Rio de Janeiro,17264943,11920927
35,São Paulo,45919049,28800104
41,Paraná,11433957,8583300
42,Santa Catarina,7141937,5676407
43,Rio Grande do Sul,11374236,8833157
50,Mato Grosso do Sul,2773431,2185059
51,Mato Grosso,3484466,2908938
52,Goiás,7018354,5822844
53,Distrito Federal,3015268,2121810
