,ano,sigla_uf,id_municipio,rede,quantidade_alunos_inse,inse
0,2019,RO,1100015,0,833,4.7512
1,2019,RO,1100015,0,773,4.7662
2,2019,RO,1100015,0,60,4.5703
3,2019,RO,1100015,2,668,4.7891
4,2019,RO,1100015,2,668,4.7891
5,2019,RO,1100015,3,165,4.6073
6,2019,RO,1100015,3,105,4.6287
7,2019,RO,1100015,3,60,4.5703
8,2019,RO,1100015,5,833,4.7512
9,2019,RO,1100015,5,773,4.7662
10,2019,RO,1100015,5,60,4.5703
11,2019,RO,1100015,6,833,4.7512
12,2019,RO,1100015,6,773,4.7662
13,2019,RO,1100015,6,60,4.5703
14,2019,RO,1100023,0,3394,4.7597
15,2019,RO,1100023,0,2860,4.7705
16,2019,RO,1100023,0,534,4.7017
17,2019,RO,1100023,1,132,4.8423
18,2019,RO,1100023,1,132,4.8423
19,2019,RO,1100023,2,1852,4.7966
20,2019,RO,1100023,2,1770,4.8092
21,2019,RO,1100023,2,82,4.5626
22,2019,RO,1100023,3,1410,4.6979
23,2019,RO,1100023,3,1090,4.7046
24,2019,RO,1100023,3,320,4.6734
25,2019,RO,1100023,5,3262,4.7558
26,2019,RO,1100023,5,2860,4.7705
27,2019,RO,1100023,5,402,4.6454
28,2019,RO,1100023,6,3394,4.7597
29,2019,RO,1100023,6,2860,4.7705
30,2019,RO,1100023,6,534,4.7017
31,2019,RO,1100031,0,215,4.7091
32,2019,RO,1100031,0,204,4.6903
33,2019,RO,1100031,0,11,5.0773
34,2019,RO,1100031,2,105,4.6121
35,2019,RO,1100031,2,94,4.5639
36,2019,RO,1100031,2,11,5.0773
37,2019,RO,1100031,3,110,4.8125
38,2019,RO,1100031,3,110,4.8125
39,2019,RO,1100031,5,215,4.7091
40,2019,RO,1100031,5,204,4.6903
41,2019,RO,1100031,5,11,5.0773
42,2019,RO,1100031,6,215,4.7091
43,2019,RO,1100031,6,204,4.6903
44,2019,RO,1100031,6,11,5.0773
45,2019,RO,1100049,0,2683,4.8073
46,2019,RO,1100049,0,2339,4.834
47,2019,RO,1100049,0,344,4.6109
48,2019,RO,1100049,1,134,5.2745
49,2019,RO,1100049,1,134,5.2745
50,2019,RO,1100049,2,1721,4.839
51,2019,RO,1100049,2,1721,4.839
52,2019,RO,1100049,3,828,4.6523
53,2019,RO,1100049,3,484,4.681
54,2019,RO,1100049,3,344,4.6109
55,2019,RO,1100049,5,2549,4.7814
56,2019,RO,1100049,5,2205,4.8061
57,2019,RO,1100049,5,344,4.6109
58,2019,RO,1100049,6,2683,4.8073
59,2019,RO,1100049,6,2339,4.834
60,2019,RO,1100049,6,344,4.6109
61,2019,RO,1100056,0,555,4.8984
62,2019,RO,1100056,0,555,4.8984
63,2019,RO,1100056,2,360,4.9518
64,2019,RO,1100056,2,360,4.9518
65,2019,RO,1100056,3,195,4.7953
66,2019,RO,1100056,3,195,4.7953
67,2019,RO,1100056,5,555,4.8984
68,2019,RO,1100056,5,555,4.8984
69,2019,RO,1100056,6,555,4.8984
70,2019,RO,1100056,6,555,4.8984
71,2019,RO,1100064,0,665,4.9393
72,2019,RO,1100064,0,468,4.9382
73,2019,RO,1100064,0,197,4.9417
74,2019,RO,1100064,1,138,4.9801
