,id_municipio,id_municipio_6,nome,sigla_uf
0,1100015,110001,Alta Floresta D'Oeste,RO
1,1100023,110002,Ariquemes,RO
2,1100031,110003,Cabixi,RO
3,1100049,110004,Cacoal,RO
4,1100056,110005,Cerejeiras,RO
5,1100064,110006,Colorado do Oeste,RO
6,1100072,110007,Corumbiara,RO
7,1100080,110008,Costa Marques,RO
8,1100098,110009,Espigão D'Oeste,RO
9,1100106,110010,Guajará-Mirim,RO
10,1100114,110011,Jaru,RO
11,1100122,110012,Ji-Paraná,RO
12,1100130,110013,Machadinho D'Oeste,RO
13,1100148,110014,Nova Brasilândia D'Oeste,RO
14,1100155,110015,Ouro Preto do Oeste,RO
15,1100189,110018,Pimenta Bueno,RO
16,1100205,110020,Porto Velho,RO
17,1100254,110025,Presidente Médici,RO
18,1100262,110026,Rio Crespo,RO
19,1100288,110028,Rolim de Moura,RO
20,1100296,110029,Santa Luzia D'Oeste,RO
21,1100304,110030,Vilhena,RO
22,1100320,110032,São Miguel do Guaporé,RO
23,1100338,110033,Nova Mamoré,RO
24,1100346,110034,Alvorada D'Oeste,RO
25,1100379,110037,Alto Alegre dos Parecis,RO
26,1100403,110040,Alto Paraíso,RO
27,1100452,110045,Buritis,RO
28,1100502,110050,Novo Horizonte do Oeste,RO
29,1100601,110060,Cacaulândia,RO
30,1100700,110070,Campo Novo de Rondônia,RO
31,1100809,110080,Candeias do Jamari,RO
32,1100908,110090,Castanheiras,RO
33,1100924,110092,Chupinguaia,RO
34,1100940,110094,Cujubim,RO
35,1101005,110100,Governador Jorge Teixeira,RO
36,1101104,110110,Itapuã do Oeste,RO
37,1101203,110120,Ministro Andreazza,RO
38,1101302,110130,Mirante da Serra,RO
39,1101401,110140,Monte Negro,RO
40,1101435,110143,Nova União,RO
41,1101450,110145,Parecis,RO
42,1101468,110146,Pimenteiras do Oeste,RO
43,1101476,110147,Primavera de Rondônia,RO
44,1101484,110148,São Felipe D'Oeste,RO
45,1101492,110149,São Francisco do Guaporé,RO
46,1101500,110150,Seringueiras,RO
47,1101559,110155,Teixeirópolis,RO
48,1101609,110160,Theobroma,RO
49,1101708,110170,Urupá,RO
50,1101757,110175,Vale do Anari,RO
51,1101807,110180,Vale do Paraíso,RO
52,1200013,120001,Acrelândia,AC
53,1200054,120005,Assis Brasil,AC
54,1200104,120010,Brasiléia,AC
55,1200138,120013,Bujari,AC
56,1200179,120017,Capixaba,AC
57,1200203,120020,Cruzeiro do Sul,AC
58,1200252,120025,Epitaciolândia,AC
59,1200302,120030,Feijó,AC
60,1200328,120032,Jordão,AC
61,1200336,120033,Mâncio Lima,AC
62,1200344,120034,Manoel Urbano,AC
63,1200351,120035,Marechal Thaumaturgo,AC
64,1200385,120038,Plácido de Castro,AC
65,1200393,120039,Porto Walter,AC
66,1200401,120040,Rio Branco,AC
67,1200427,120042,Rodrigues Alves,AC
68,1200435,120043,Santa Rosa do Purus,AC
69,1200450,120045,Senador Guiomard,AC
70,1200500,120050,Sena Madureira,AC
71,1200609,120060,Tarauacá,AC
72,1200708,120070,Xapuri,AC
73,1200807,120080,Porto Acre,AC
74,1300029,130002,Alvarães,AM
75,1300060,130006,Amaturá,AM
76,1300086,130008,Anamã,AM
77,1300102,130010,Anori,AM
78,1300144,130014,Apuí,AM
79,1300201,130020,Atalaia do Norte,AM
80,1300300,130030,Autazes,AM
81,1300409,130040,Barcelos,AM
82,1300508,130050,Barreirinha,AM
83,1300607,130060,Benjamin Constant,AM
84,1300631,130063,Beruri,AM
85,1300680,130068,Boa Vista do Ramos,AM
86,1300706,130070,Boca do Acre,AM
87,1300805,130080,Borba,AM
88,1300839,130083,Caapiranga,AM
89,1300904,130090,Canutama,AM
90,1301001,130100,Carauari,AM
91,1301100,130110,Careiro,AM
92,1301159,130115,Careiro da Várzea,AM
93,1301209,130120,Coari,AM
94,1301308,130130,Codajás,AM
95,1301407,130140,Eirunepé,AM
96,1301506,130150,Envira,AM
97,1301605,130160,Fonte Boa,AM
98,1301654,130165,Guajará,AM
99,1301704,130170,Humaitá,AM
100,1301803,130180,Ipixuna,AM
101,1301852,130185,Iranduba,AM
102,1301902,130190,Itacoatiara,AM
103,1301951,130195,Itamarati,AM
104,1302009,130200,Itapiranga,AM
105,1302108,130210,Japurá,AM
106,1302207,130220,Juruá,AM
107,1302306,130230,Jutaí,AM
108,1302405,130240,Lábrea,AM
109,1302504,130250,Manacapuru,AM
110,1302553,130255,Manaquiri,AM
111,1302603,130260,Manaus,AM
112,1302702,130270,Manicoré,AM
113,1302801,130280,Maraã,AM
114,1302900,130290,Maués,AM
115,1303007,130300,Nhamundá,AM
116,1303106,130310,Nova Olinda do Norte,AM
117,1303205,130320,Novo Airão,AM
118,1303304,130330,Novo Aripuanã,AM
119,1303403,130340,Parintins,AM
120,1303502,130350,Pauini,AM
121,1303536,130353,Presidente Figueiredo,AM
122,1303569,130356,Rio Preto da Eva,AM
123,1303601,130360,Santa Isabel do Rio Negro,AM
124,1303700,130370,Santo Antônio do Içá,AM
125,1303809,130380,São Gabriel da Cachoeira,AM
126,1303908,130390,São Paulo de Olivença,AM
127,1303957,130395,São Sebastião do Uatumã,AM
128,1304005,130400,Silves,AM
129,1304062,130406,Tabatinga,AM
130,1304104,130410,Tapauá,AM
131,1304203,130420,Tefé,AM
132,1304237,130423,Tonantins,AM
133,1304260,130426,Uarini,AM
134,1304302,130430,Urucará,AM
135,1304401,130440,Urucurituba,AM
136,1400027,140002,Amajari,RR
137,1400050,140005,Alto Alegre,RR
138,1400100,140010,Boa Vista,RR
139,1400159,140015,Bonfim,RR
140,1400175,140017,Cantá,RR
141,1400209,140020,Caracaraí,RR
142,1400233,140023,Caroebe,RR
143,1400282,140028,Iracema,RR
144,1400308,140030,Mucajaí,RR
145,1400407,140040,Normandia,RR
146,1400456,140045,Pacaraima,RR
147,1400472,140047,Rorainópolis,RR
148,1400506,140050,São João da Baliza,RR
149,1400605,140060,São Luiz,RR
150,1400704,140070,Uiramutã,RR
151,1500107,150010,Abaetetuba,PA
152,1500131,150013,Abel Figueiredo,PA
153,1500206,150020,Acará,PA
154,1500305,150030,Afuá,PA
155,1500347,150034,Água Azul do Norte,PA
156,1500404,150040,Alenquer,PA
157,1500503,150050,Almeirim,PA
158,1500602,150060,Altamira,PA
159,1500701,150070,Anajás,PA
160,1500800,150080,Ananindeua,PA
161,1500859,150085,Anapu,PA
162,1500909,150090,Augusto Corrêa,PA
163,1500958,150095,Aurora do Pará,PA
164,1501006,150100,Aveiro,PA
165,1501105,150110,Bagre,PA
166,1501204,150120,Baião,PA
167,1501253,150125,Bannach,PA
168,1501303,150130,Barcarena,PA
169,1501402,150140,Belém,PA
170,1501451,150145,Belterra,PA
171,1501501,150150,Benevides,PA
172,1501576,150157,Bom Jesus do Tocantins,PA
173,1501600,150160,Bonito,PA
174,1501709,150170,Bragança,PA
175,1501725,150172,Brasil Novo,PA
176,1501758,150175,Brejo Grande do Araguaia,PA
177,1501782,150178,Breu Branco,PA
178,1501808,150180,Breves,PA
179,1501907,150190,Bujaru,PA
180,1501956,150195,Cachoeira do Piriá,PA
181,1502004,150200,Cachoeira do Arari,PA
182,1502103,150210,Cametá,PA
183,1502152,150215,Canaã dos Carajás,PA
184,1502202,150220,Capanema,PA
185,1502301,150230,Capitão Poço,PA
186,1502400,150240,Castanhal,PA
187,1502509,150250,Chaves,PA
188,1502608,150260,Colares,PA
189,1502707,150270,Conceição do Araguaia,PA
190,1502756,150275,Concórdia do Pará,PA
191,1502764,150276,Cumaru do Norte,PA
192,1502772,150277,Curionópolis,PA
193,1502806,150280,Curralinho,PA
194,1502855,150285,Curuá,PA
195,1502905,150290,Curuçá,PA
196,1502939,150293,Dom Eliseu,PA
197,1502954,150295,Eldorado do Carajás,PA
198,1503002,150300,Faro,PA
199,1503044,150304,Floresta do Araguaia,PA
200,1503077,150307,Garrafão do Norte,PA
201,1503093,150309,Goianésia do Pará,PA
202,1503101,150310,Gurupá,PA
203,1503200,150320,Igarapé-Açu,PA
204,1503309,150330,Igarapé-Miri,PA
205,1503408,150340,Inhangapi,PA
206,1503457,150345,Ipixuna do Pará,PA
207,1503507,150350,Irituia,PA
208,1503606,150360,Itaituba,PA
209,1503705,150370,Itupiranga,PA
210,1503754,150375,Jacareacanga,PA
211,1503804,150380,Jacundá,PA
212,1503903,150390,Juruti,PA
213,1504000,150400,Limoeiro do Ajuru,PA
214,1504059,150405,Mãe do Rio,PA
215,1504109,150410,Magalhães Barata,PA
216,1504208,150420,Marabá,PA
217,1504307,150430,Maracanã,PA
218,1504406,150440,Marapanim,PA
219,1504422,150442,Marituba,PA
220,1504455,150445,Medicilândia,PA
221,1504505,150450,Melgaço,PA
222,1504604,150460,Mocajuba,PA
223,1504703,150470,Moju,PA
224,1504752,150475,Mojuí dos Campos,PA
225,1504802,150480,Monte Alegre,PA
226,1504901,150490,Muaná,PA
227,1504950,150495,Nova Esperança do Piriá,PA
228,1504976,150497,Nova Ipixuna,PA
229,1505007,150500,Nova Timboteua,PA
230,1505031,150503,Novo Progresso,PA
231,1505064,150506,Novo Repartimento,PA
232,1505106,150510,Óbidos,PA
233,1505205,150520,Oeiras do Pará,PA
234,1505304,150530,Oriximiná,PA
235,1505403,150540,Ourém,PA
236,1505437,150543,Ourilândia do Norte,PA
237,1505486,150548,Pacajá,PA
238,1505494,150549,Palestina do Pará,PA
239,1505502,150550,Paragominas,PA
240,1505536,150553,Parauapebas,PA
241,1505551,150555,Pau D'Arco,PA
242,1505601,150560,Peixe-Boi,PA
243,1505635,150563,Piçarra,PA
244,1505650,150565,Placas,PA
245,1505700,150570,Ponta de Pedras,PA
246,1505809,150580,Portel,PA
247,1505908,150590,Porto de Moz,PA
248,1506005,150600,Prainha,PA
249,1506104,150610,Primavera,PA
250,1506112,150611,Quatipuru,PA
251,1506138,150613,Redenção,PA
252,1506161,150616,Rio Maria,PA
253,1506187,150618,Rondon do Pará,PA
254,1506195,150619,Rurópolis,PA
255,1506203,150620,Salinópolis,PA
256,1506302,150630,Salvaterra,PA
257,1506351,150635,Santa Bárbara do Pará,PA
258,1506401,150640,Santa Cruz do Arari,PA
259,1506500,150650,Santa Isabel do Pará,PA
260,1506559,150655,Santa Luzia do Pará,PA
261,1506583,150658,Santa Maria das Barreiras,PA
262,1506609,150660,Santa Maria do Pará,PA
263,1506708,150670,Santana do Araguaia,PA
264,1506807,150680,Santarém,PA
265,1506906,150690,Santarém Novo,PA
266,1507003,150700,Santo Antônio do Tauá,PA
267,1507102,150710,São Caetano de Odivelas,PA
268,1507151,150715,São Domingos do Araguaia,PA
269,1507201,150720,São Domingos do Capim,PA
270,1507300,150730,São Félix do Xingu,PA
271,1507409,150740,São Francisco do Pará,PA
272,1507458,150745,São Geraldo do Araguaia,PA
273,1507466,150746,São João da Ponta,PA
274,1507474,150747,São João de Pirabas,PA
275,1507508,150750,São João do Araguaia,PA
276,1507607,150760,São Miguel do Guamá,PA
277,1507706,150770,São Sebastião da Boa Vista,PA
278,1507755,150775,Sapucaia,PA
279,1507805,150780,Senador José Porfírio,PA
280,1507904,150790,Soure,PA
281,1507953,150795,Tailândia,PA
282,1507961,150796,Terra Alta,PA
283,1507979,150797,Terra Santa,PA
284,1508001,150800,Tomé-Açu,PA
285,1508035,150803,Tracuateua,PA
286,1508050,150805,Trairão,PA
287,1508084,150808,Tucumã,PA
288,1508100,150810,Tucuruí,PA
289,1508126,150812,Ulianópolis,PA
290,1508159,150815,Uruará,PA
291,1508209,150820,Vigia,PA
292,1508308,150830,Viseu,PA
293,1508357,150835,Vitória do Xingu,PA
294,1508407,150840,Xinguara,PA
295,1600055,160005,Serra do Navio,AP
296,1600105,160010,Amapá,AP
297,1600154,160015,Pedra Branca do Amapari,AP
298,1600204,160020,Calçoene,AP
299,1600212,160021,Cutias,AP
300,1600238,160023,Ferreira Gomes,AP
301,1600253,160025,Itaubal,AP
302,1600279,160027,Laranjal do Jari,AP
303,1600303,160030,Macapá,AP
304,1600402,160040,Mazagão,AP
305,1600501,160050,Oiapoque,AP
306,1600535,160053,Porto Grande,AP
307,1600550,160055,Pracuúba,AP
308,1600600,160060,Santana,AP
309,1600709,160070,Tartarugalzinho,AP
310,1600808,160080,Vitória do Jari,AP
311,1700251,170025,Abreulândia,TO
312,1700301,170030,Aguiarnópolis,TO
313,1700350,170035,Aliança do Tocantins,TO
314,1700400,170040,Almas,TO
315,1700707,170070,Alvorada,TO
316,1701002,170100,Ananás,TO
317,1701051,170105,Angico,TO
318,1701101,170110,Aparecida do Rio Negro,TO
319,1701309,170130,Aragominas,TO
320,1701903,170190,Araguacema,TO
321,1702000,170200,Araguaçu,TO
322,1702109,170210,Araguaína,TO
323,1702158,170215,Araguanã,TO
324,1702208,170220,Araguatins,TO
325,1702307,170230,Arapoema,TO
326,1702406,170240,Arraias,TO
327,1702554,170255,Augustinópolis,TO
328,1702703,170270,Aurora do Tocantins,TO
329,1702901,170290,Axixá do Tocantins,TO
330,1703008,170300,Babaçulândia,TO
331,1703057,170305,Bandeirantes do Tocantins,TO
332,1703073,170307,Barra do Ouro,TO
333,1703107,170310,Barrolândia,TO
334,1703206,170320,Bernardo Sayão,TO
335,1703305,170330,Bom Jesus do Tocantins,TO
336,1703602,170360,Brasilândia do Tocantins,TO
337,1703701,170370,Brejinho de Nazaré,TO
338,1703800,170380,Buriti do Tocantins,TO
339,1703826,170382,Cachoeirinha,TO
340,1703842,170384,Campos Lindos,TO
341,1703867,170386,Cariri do Tocantins,TO
342,1703883,170388,Carmolândia,TO
343,1703891,170389,Carrasco Bonito,TO
344,1703909,170390,Caseara,TO
345,1704105,170410,Centenário,TO
346,1704600,170460,Chapada de Areia,TO
347,1705102,170510,Chapada da Natividade,TO
348,1705508,170550,Colinas do Tocantins,TO
349,1705557,170555,Combinado,TO
350,1705607,170560,Conceição do Tocantins,TO
351,1706001,170600,Couto Magalhães,TO
352,1706100,170610,Cristalândia,TO
353,1706258,170625,Crixás do Tocantins,TO
354,1706506,170650,Darcinópolis,TO
355,1707009,170700,Dianópolis,TO
356,1707108,170710,Divinópolis do Tocantins,TO
357,1707207,170720,Dois Irmãos do Tocantins,TO
358,1707306,170730,Dueré,TO
359,1707405,170740,Esperantina,TO
360,1707553,170755,Fátima,TO
361,1707652,170765,Figueirópolis,TO
362,1707702,170770,Filadélfia,TO
363,1708205,170820,Formoso do Araguaia,TO
364,1708254,170825,Fortaleza do Tabocão,TO
365,1708304,170830,Goianorte,TO
366,1709005,170900,Goiatins,TO
367,1709302,170930,Guaraí,TO
368,1709500,170950,Gurupi,TO
369,1709807,170980,Ipueiras,TO
370,1710508,171050,Itacajá,TO
371,1710706,171070,Itaguatins,TO
372,1710904,171090,Itapiratins,TO
373,1711100,171110,Itaporã do Tocantins,TO
374,1711506,171150,Jaú do Tocantins,TO
375,1711803,171180,Juarina,TO
376,1711902,171190,Lagoa da Confusão,TO
377,1711951,171195,Lagoa do Tocantins,TO
378,1712009,171200,Lajeado,TO
379,1712157,171215,Lavandeira,TO
380,1712405,171240,Lizarda,TO
381,1712454,171245,Luzinópolis,TO
382,1712504,171250,Marianópolis do Tocantins,TO
383,1712702,171270,Mateiros,TO
384,1712801,171280,Maurilândia do Tocantins,TO
385,1713205,171320,Miracema do Tocantins,TO
386,1713304,171330,Miranorte,TO
387,1713601,171360,Monte do Carmo,TO
388,1713700,171370,Monte Santo do Tocantins,TO
389,1713809,171380,Palmeiras do Tocantins,TO
390,1713957,171395,Muricilândia,TO
391,1714203,171420,Natividade,TO
392,1714302,171430,Nazaré,TO
393,1714880,171488,Nova Olinda,TO
394,1715002,171500,Nova Rosalândia,TO
395,1715101,171510,Novo Acordo,TO
396,1715150,171515,Novo Alegre,TO
397,1715259,171525,Novo Jardim,TO
398,1715507,171550,Oliveira de Fátima,TO
399,1715705,171570,Palmeirante,TO
400,1715754,171575,Palmeirópolis,TO
401,1716109,171610,Paraíso do Tocantins,TO
402,1716208,171620,Paranã,TO
403,1716307,171630,Pau D'Arco,TO
404,1716505,171650,Pedro Afonso,TO
405,1716604,171660,Peixe,TO
406,1716653,171665,Pequizeiro,TO
407,1716703,171670,Colméia,TO
408,1717008,171700,Pindorama do Tocantins,TO
409,1717206,171720,Piraquê,TO
410,1717503,171750,Pium,TO
411,1717800,171780,Ponte Alta do Bom Jesus,TO
412,1717909,171790,Ponte Alta do Tocantins,TO
413,1718006,171800,Porto Alegre do Tocantins,TO
414,1718204,171820,Porto Nacional,TO
415,1718303,171830,Praia Norte,TO
416,1718402,171840,Presidente Kennedy,TO
417,1718451,171845,Pugmil,TO
418,1718501,171850,Recursolândia,TO
419,1718550,171855,Riachinho,TO
420,1718659,171865,Rio da Conceição,TO
421,1718709,171870,Rio dos Bois,TO
422,1718758,171875,Rio Sono,TO
423,1718808,171880,Sampaio,TO
424,1718840,171884,Sandolândia,TO
425,1718865,171886,Santa Fé do Araguaia,TO
426,1718881,171888,Santa Maria do Tocantins,TO
427,1718899,171889,Santa Rita do Tocantins,TO
428,1718907,171890,Santa Rosa do Tocantins,TO
429,1719004,171900,Santa Tereza do Tocantins,TO
430,1720002,172000,Santa Terezinha do Tocantins,TO
431,1720101,172010,São Bento do Tocantins,TO
432,1720150,172015,São Félix do Tocantins,TO
433,1720200,172020,São Miguel do Tocantins,TO
434,1720259,172025,São Salvador do Tocantins,TO
435,1720309,172030,São Sebastião do Tocantins,TO
436,1720499,172049,São Valério,TO
437,1720655,172065,Silvanópolis,TO
438,1720804,172080,Sítio Novo do Tocantins,TO
439,1720853,172085,Sucupira,TO
440,1720903,172090,Taguatinga,TO
441,1720937,172093,Taipas do Tocantins,TO
442,1720978,172097,Talismã,TO
443,1721000,172100,Palmas,TO
444,1721109,172110,Tocantínia,TO
445,1721208,172120,Tocantinópolis,TO
446,1721257,172125,Tupirama,TO
447,1721307,172130,Tupiratins,TO
448,1722081,172208,Wanderlândia,TO
449,1722107,172210,Xambioá,TO
450,2100055,210005,Açailândia,MA
451,2100105,210010,Afonso Cunha,MA
452,2100154,210015,Água Doce do Maranhão,MA
453,2100204,210020,Alcântara,MA
454,2100303,210030,Aldeias Altas,MA
455,2100402,210040,Altamira do Maranhão,MA
456,2100436,210043,Alto Alegre do Maranhão,MA
457,2100477,210047,Alto Alegre do Pindaré,MA
458,2100501,210050,Alto Parnaíba,MA
459,2100550,210055,Amapá do Maranhão,MA
460,2100600,210060,Amarante do Maranhão,MA
461,2100709,210070,Anajatuba,MA
462,2100808,210080,Anapurus,MA
463,2100832,210083,Apicum-Açu,MA
464,2100873,210087,Araguanã,MA
