,sigla_uf,id_municipio,ano,populacao
0,RO,110001,2021,22516
1,RO,110002,2021,111148
2,RO,110003,2021,5067
3,RO,110004,2021,86416
4,RO,110005,2021,16088
5,RO,110006,2021,15213
6,RO,110007,2021,7052
7,RO,110008,2021,19255
8,RO,110009,2021,33009
9,RO,110010,2021,46930
10,RO,110011,2021,51469
11,RO,110012,2021,131026
12,RO,110013,2021,41724
13,RO,110014,2021,20504
14,RO,110015,2021,35445
15,RO,110018,2021,37098
16,RO,110020,2021,548952
17,RO,110025,2021,18165
18,RO,110026,2021,3843
19,RO,110028,2021,55748
20,RO,110029,2021,5942
21,RO,110030,2021,104517
22,RO,110032,2021,23147
23,RO,110033,2021,32184
24,RO,110034,2021,13807
25,RO,110037,2021,13268
26,RO,110040,2021,22258
27,RO,110045,2021,41043
28,RO,110050,2021,8125
29,RO,110060,2021,6307
30,RO,110070,2021,14391
31,RO,110080,2021,28068
32,RO,110090,2021,2923
33,RO,110092,2021,11755
34,RO,110094,2021,27131
35,RO,110100,2021,7130
36,RO,110110,2021,10819
37,RO,110120,2021,9461
38,RO,110130,2021,10691
39,RO,110140,2021,16158
40,RO,110143,2021,6822
41,RO,110145,2021,6319
42,RO,110146,2021,2127
43,RO,110147,2021,2697
44,RO,110148,2021,4962
45,RO,110149,2021,21088
46,RO,110150,2021,11846
47,RO,110155,2021,4160
48,RO,110160,2021,10348
49,RO,110170,2021,11081
50,RO,110175,2021,11545
51,RO,110180,2021,6490
52,AC,120001,2021,15721
53,AC,120005,2021,7649
54,AC,120010,2021,27123
55,AC,120013,2021,10572
56,AC,120017,2021,12280
57,AC,120020,2021,89760
58,AC,120025,2021,18979
59,AC,120030,2021,34986
60,AC,120032,2021,8628
61,AC,120033,2021,19643
62,AC,120034,2021,9701
63,AC,120035,2021,19727
64,AC,120038,2021,20147
65,AC,120039,2021,12497
66,AC,120040,2021,419452
67,AC,120042,2021,19767
68,AC,120043,2021,6893
69,AC,120045,2021,23446
70,AC,120050,2021,47168
71,AC,120060,2021,43730
72,AC,120070,2021,19866
73,AC,120080,2021,19141
74,AM,130002,2021,16396
75,AM,130006,2021,11934
76,AM,130008,2021,14292
77,AM,130010,2021,21937
78,AM,130014,2021,22739
79,AM,130020,2021,20868
80,AM,130030,2021,41005
81,AM,130040,2021,27772
82,AM,130050,2021,32919
83,AM,130060,2021,44873
84,AM,130063,2021,20503
85,AM,130068,2021,20040
86,AM,130070,2021,34958
87,AM,130080,2021,42328
88,AM,130083,2021,13482
89,AM,130090,2021,15981
90,AM,130100,2021,28719
91,AM,130110,2021,38820
92,AM,130115,2021,31459
93,AM,130120,2021,86713
94,AM,130130,2021,29691
95,AM,130140,2021,36121
96,AM,130150,2021,20748
97,AM,130160,2021,16409
98,AM,130165,2021,17193
99,AM,130170,2021,57195
100,AM,130180,2021,31172
101,AM,130185,2021,49718
102,AM,130190,2021,104046
103,AM,130195,2021,7777
104,AM,130200,2021,9312
105,AM,130210,2021,1755
106,AM,130220,2021,15495
107,AM,130230,2021,13462
108,AM,130240,2021,47685
109,AM,130250,2021,99613
110,AM,130255,2021,33981
111,AM,130260,2021,2255903
112,AM,130270,2021,57405
113,AM,130280,2021,18298
114,AM,130290,2021,66159
115,AM,130300,2021,21710
116,AM,130310,2021,38665
117,AM,130320,2021,20395
118,AM,130330,2021,26443
119,AM,130340,2021,116439
120,AM,130350,2021,19616
121,AM,130353,2021,38095
122,AM,130356,2021,34856
123,AM,130360,2021,26566
124,AM,130370,2021,20889
125,AM,130380,2021,47031
126,AM,130390,2021,40837
127,AM,130395,2021,14678
128,AM,130400,2021,9289
129,AM,130406,2021,68502
130,AM,130410,2021,16876
131,AM,130420,2021,59250
132,AM,130423,2021,19038
133,AM,130426,2021,13839
134,AM,130430,2021,16007
135,AM,130440,2021,24098
136,RR,140002,2021,13561
137,RR,140005,2021,15249
138,RR,140010,2021,436591
139,RR,140015,2021,12701
140,RR,140017,2021,19257
141,RR,140020,2021,22635
142,RR,140023,2021,10595
143,RR,140028,2021,12637
144,RR,140030,2021,18482
145,RR,140040,2021,11772
146,RR,140045,2021,20108
147,RR,140047,2021,31387
148,RR,140050,2021,8492
149,RR,140060,2021,8232
150,RR,140070,2021,11014
151,PA,150010,2021,160439
152,PA,150013,2021,7536
153,PA,150020,2021,55744
154,PA,150030,2021,39910
155,PA,150034,2021,27797
156,PA,150040,2021,57390
157,PA,150050,2021,34044
158,PA,150060,2021,117320
159,PA,150070,2021,30091
160,PA,150080,2021,540410
161,PA,150085,2021,29312
162,PA,150090,2021,46937
163,PA,150095,2021,32200
164,PA,150100,2021,16421
165,PA,150110,2021,31967
166,PA,150120,2021,49454
167,PA,150125,2021,3239
168,PA,150130,2021,129333
169,PA,150140,2021,1506420
