Competência CNES,Região,UF,IBGE,Município,População,Qt. eAP financiada,Qt. eSF financiada,Qt. Cadastros eAP financiada,Qt. Cadastros eSF financiada,"Qt. Total de cadastros 
(limitado pela população IBGE)",Cobertura APS
DEC/2021,NORTE,ACRE,120001,ACRELÂNDIA,15.721,0,5,0,12.288,12.288,78.16%
DEC/2021,NORTE,ACRE,120005,ASSIS BRASIL,7.649,0,3,0,10.184,7.649,100%
DEC/2021,NORTE,ACRE,120010,BRASILÉIA,27.123,0,9,0,25.300,25.300,93.27%
DEC/2021,NORTE,ACRE,120013,BUJARI,10.572,0,3,0,9.923,9.923,93.86%
DEC/2021,NORTE,ACRE,120017,CAPIXABA,12.280,0,5,0,10.640,10.640,86.64%
DEC/2021,NORTE,ACRE,120020,CRUZEIRO DO SUL,89.760,0,32,0,83.973,83.973,93.55%
DEC/2021,NORTE,ACRE,120025,EPITACIOLÂNDIA,18.979,0,6,0,13.819,13.819,72.81%
DEC/2021,NORTE,ACRE,120030,FEIJÓ,34.986,0,8,0,15.753,15.753,45.02%
DEC/2021,NORTE,ACRE,120032,JORDÃO,8.628,0,2,0,5.810,5.810,67.33%
DEC/2021,NORTE,ACRE,120034,MANOEL URBANO,9.701,0,3,0,9.967,9.701,100%
DEC/2021,NORTE,ACRE,120035,MARECHAL THAUMATURGO,19.727,0,1,0,3.343,3.343,16.94%
DEC/2021,NORTE,ACRE,120033,MÂNCIO LIMA,19.643,0,7,0,18.452,18.452,93.93%
DEC/2021,NORTE,ACRE,120038,PLÁCIDO DE CASTRO,20.147,0,5,0,9.561,9.561,47.45%
DEC/2021,NORTE,ACRE,120080,PORTO ACRE,19.141,0,5,0,15.793,15.793,82.5%
DEC/2021,NORTE,ACRE,120039,PORTO WALTER,12.497,0,3,0,7.870,7.870,62.97%
DEC/2021,NORTE,ACRE,120040,RIO BRANCO,419.452,18,79,11.968,237.892,249.860,59.56%
DEC/2021,NORTE,ACRE,120042,RODRIGUES ALVES,19.767,0,7,0,12.795,12.795,64.72%
DEC/2021,NORTE,ACRE,120043,SANTA ROSA DO PURUS,6.893,0,2,0,4.794,4.794,69.54%
DEC/2021,NORTE,ACRE,120050,SENA MADUREIRA,47.168,0,13,0,35.777,35.777,75.85%
DEC/2021,NORTE,ACRE,120045,SENADOR GUIOMARD,23.446,0,8,0,17.074,17.074,72.82%
DEC/2021,NORTE,ACRE,120060,TARAUACÁ,43.730,0,9,0,33.981,33.981,77.7%
DEC/2021,NORTE,ACRE,120070,XAPURI,19.866,0,6,0,17.115,17.115,86.15%
DEC/2021,NORDESTE,ALAGOAS,270020,ANADIA,17.507,0,7,0,15.907,15.907,90.86%
DEC/2021,NORDESTE,ALAGOAS,270030,ARAPIRACA,234.309,3,66,2.347,186.724,189.071,80.69%
DEC/2021,NORDESTE,ALAGOAS,270040,ATALAIA,47.540,0,15,0,34.275,34.275,72.09%
DEC/2021,NORDESTE,ALAGOAS,270050,BARRA DE SANTO ANTÔNIO,16.201,0,6,0,14.142,14.142,87.29%
DEC/2021,NORDESTE,ALAGOAS,270060,BARRA DE SÃO MIGUEL,8.434,0,3,0,10.924,8.434,100%
DEC/2021,NORDESTE,ALAGOAS,270070,BATALHA,18.440,0,7,0,18.571,18.440,100%
DEC/2021,NORDESTE,ALAGOAS,270090,BELO MONTE,6.717,0,3,0,8.161,6.717,100%
DEC/2021,NORDESTE,ALAGOAS,270080,BELÉM,4.226,0,2,0,6.089,4.226,100%
DEC/2021,NORDESTE,ALAGOAS,270100,BOCA DA MATA,27.429,0,11,0,24.153,24.153,88.05%
DEC/2021,NORDESTE,ALAGOAS,270110,BRANQUINHA,10.426,0,5,0,10.850,10.426,100%
DEC/2021,NORDESTE,ALAGOAS,270120,CACIMBINHAS,10.920,0,5,0,11.325,10.920,100%
DEC/2021,NORDESTE,ALAGOAS,270130,CAJUEIRO,21.397,0,7,0,17.816,17.816,83.26%
DEC/2021,NORDESTE,ALAGOAS,270135,CAMPESTRE,6.972,0,3,0,6.754,6.754,96.87%
DEC/2021,NORDESTE,ALAGOAS,270140,CAMPO ALEGRE,57.997,0,19,0,38.831,38.831,66.95%
DEC/2021,NORDESTE,ALAGOAS,270150,CAMPO GRANDE,9.576,0,4,0,10.563,9.576,100%
DEC/2021,NORDESTE,ALAGOAS,270160,CANAPI,17.715,1,6,0,18.896,17.715,100%
DEC/2021,NORDESTE,ALAGOAS,270170,CAPELA,16.907,0,8,0,15.526,15.526,91.83%
DEC/2021,NORDESTE,ALAGOAS,270180,CARNEIROS,9.568,1,3,14,9.043,9.057,94.65%
DEC/2021,NORDESTE,ALAGOAS,270190,CHÃ PRETA,7.311,0,4,0,7.585,7.311,100%
DEC/2021,NORDESTE,ALAGOAS,270200,COITÉ DO NÓIA,10.594,0,5,0,10.976,10.594,100%
DEC/2021,NORDESTE,ALAGOAS,270210,COLÔNIA LEOPOLDINA,21.935,0,8,0,18.584,18.584,84.72%
DEC/2021,NORDESTE,ALAGOAS,270220,COQUEIRO SECO,5.882,0,3,0,6.763,5.882,100%
DEC/2021,NORDESTE,ALAGOAS,270230,CORURIPE,57.647,0,17,0,59.259,57.647,100%
DEC/2021,NORDESTE,ALAGOAS,270235,CRAÍBAS,24.396,0,9,0,26.563,24.396,100%
DEC/2021,NORDESTE,ALAGOAS,270240,DELMIRO GOUVEIA,52.501,0,14,0,46.245,46.245,88.08%
DEC/2021,NORDESTE,ALAGOAS,270250,DOIS RIACHOS,11.059,0,4,0,10.999,10.999,99.45%
DEC/2021,NORDESTE,ALAGOAS,270255,ESTRELA DE ALAGOAS,18.304,0,7,0,18.005,18.005,98.36%
DEC/2021,NORDESTE,ALAGOAS,270260,FEIRA GRANDE,22.192,0,8,0,22.297,22.192,100%
DEC/2021,NORDESTE,ALAGOAS,270270,FELIZ DESERTO,4.803,0,2,0,4.976,4.803,100%
DEC/2021,NORDESTE,ALAGOAS,270280,FLEXEIRAS,12.823,0,5,0,11.770,11.770,91.78%
DEC/2021,NORDESTE,ALAGOAS,270290,GIRAU DO PONCIANO,41.549,0,13,0,35.106,35.106,84.49%
DEC/2021,NORDESTE,ALAGOAS,270300,IBATEGUARA,15.637,0,6,0,15.067,15.067,96.35%
DEC/2021,NORDESTE,ALAGOAS,270310,IGACI,25.596,0,11,0,30.006,25.596,100%
DEC/2021,NORDESTE,ALAGOAS,270320,IGREJA NOVA,24.670,0,10,0,24.830,24.670,100%
DEC/2021,NORDESTE,ALAGOAS,270330,INHAPI,18.398,0,6,0,17.389,17.389,94.51%
DEC/2021,NORDESTE,ALAGOAS,270340,JACARÉ DOS HOMENS,5.185,0,3,0,6.441,5.185,100%
DEC/2021,NORDESTE,ALAGOAS,270350,JACUÍPE,6.992,0,3,0,5.901,5.901,84.39%
DEC/2021,NORDESTE,ALAGOAS,270360,JAPARATINGA,8.444,0,4,0,10.215,8.444,100%
DEC/2021,NORDESTE,ALAGOAS,270370,JARAMATAIA,5.751,0,3,0,5.802,5.751,100%
DEC/2021,NORDESTE,ALAGOAS,270375,JEQUIÁ DA PRAIA,11.495,0,5,0,11.059,11.059,96.2%
DEC/2021,NORDESTE,ALAGOAS,270380,JOAQUIM GOMES,24.167,0,8,0,19.897,19.897,82.33%
DEC/2021,NORDESTE,ALAGOAS,270390,JUNDIÁ,4.119,0,2,0,4.395,4.119,100%
DEC/2021,NORDESTE,ALAGOAS,270400,JUNQUEIRO,24.716,0,12,0,25.675,24.716,100%
DEC/2021,NORDESTE,ALAGOAS,270410,LAGOA DA CANOA,17.692,0,6,0,20.925,17.692,100%
DEC/2021,NORDESTE,ALAGOAS,270420,LIMOEIRO DE ANADIA,28.904,0,14,0,28.842,28.842,99.78%
DEC/2021,NORDESTE,ALAGOAS,270430,MACEIÓ,1.031.597,10,77,1.895,300.744,302.639,29.33%
DEC/2021,NORDESTE,ALAGOAS,270440,MAJOR ISIDORO,19.923,0,10,0,17.873,17.873,89.71%
DEC/2021,NORDESTE,ALAGOAS,270490,MAR VERMELHO,3.474,0,2,0,3.798,3.474,100%
DEC/2021,NORDESTE,ALAGOAS,270450,MARAGOGI,33.351,0,10,0,34.957,33.351,100%
DEC/2021,NORDESTE,ALAGOAS,270460,MARAVILHA,8.850,0,4,0,10.702,8.850,100%
DEC/2021,NORDESTE,ALAGOAS,270470,MARECHAL DEODORO,52.848,0,19,0,63.530,52.848,100%
DEC/2021,NORDESTE,ALAGOAS,270480,MARIBONDO,13.123,0,5,0,14.482,13.123,100%
DEC/2021,NORDESTE,ALAGOAS,270500,MATA GRANDE,25.200,0,6,0,19.108,19.108,75.82%
DEC/2021,NORDESTE,ALAGOAS,270510,MATRIZ DE CAMARAGIBE,24.627,0,11,0,24.657,24.627,100%
DEC/2021,NORDESTE,ALAGOAS,270520,MESSIAS,18.201,0,6,0,16.445,16.445,90.35%
DEC/2021,NORDESTE,ALAGOAS,270530,MINADOR DO NEGRÃO,5.315,0,3,0,5.840,5.315,100%
DEC/2021,NORDESTE,ALAGOAS,270540,MONTEIRÓPOLIS,7.171,0,4,0,8.034,7.171,100%
DEC/2021,NORDESTE,ALAGOAS,270550,MURICI,28.428,0,11,0,28.303,28.303,99.56%
DEC/2021,NORDESTE,ALAGOAS,270560,NOVO LINO,12.837,0,4,0,10.072,10.072,78.46%
DEC/2021,NORDESTE,ALAGOAS,270570,OLHO D'ÁGUA DAS FLORES,21.690,0,8,0,22.056,21.690,100%
DEC/2021,NORDESTE,ALAGOAS,270580,OLHO D'ÁGUA DO CASADO,9.507,0,4,0,8.861,8.861,93.2%
DEC/2021,NORDESTE,ALAGOAS,270590,OLHO D'ÁGUA GRANDE,5.133,0,2,0,5.526,5.133,100%
DEC/2021,NORDESTE,ALAGOAS,270600,OLIVENÇA,11.681,0,5,0,11.855,11.681,100%
DEC/2021,NORDESTE,ALAGOAS,270610,OURO BRANCO,11.573,0,4,0,11.568,11.568,99.95%
DEC/2021,NORDESTE,ALAGOAS,270620,PALESTINA,5.061,0,3,0,5.070,5.061,100%
DEC/2021,NORDESTE,ALAGOAS,270630,PALMEIRA DOS ÍNDIOS,73.452,2,22,1.342,73.037,73.452,100%
DEC/2021,NORDESTE,ALAGOAS,270642,PARICONHA,10.546,0,5,0,10.280,10.280,97.47%
DEC/2021,NORDESTE,ALAGOAS,270644,PARIPUEIRA,13.484,0,4,0,11.181,11.181,82.92%
