id_municipio,2017,Ideb
1100015,6.2,5.7
1100023,5.5,5.2
1100031,6.1,5.1
1100049,6.3,5.8
1100056,6.4,6.4
1100064,6.4,6.3
1100072,5.7,6
1100080,4.8,4.9
1100098,6.1,5.9
1100106,4.9,5
1100114,6.1,5.7
1100122,6.2,5.8
1100130,5.2,5
1100148,7.2,6.9
1100155,5.8,5.5
1100189,6.2,5.8
1100205,5.3,5.4
1100254,6.3,5.8
1100262,5.1,4
1100288,6.4,5.9
1100296,6.8,6.3
1100304,5.9,5.6
1100320,5.7,5.1
1100338,5.2,4.9
1100346,5.8,5.3
1100379,5.8,5.4
1100403,5.7,4.9
1100452,5.6,5.5
1100502,5.8,6.6
1100601,5.8,5.1
1100700,5.3,5.3
1100809,4.4,5
1100908,-,-
1100924,5.2,4.6
1100940,4.5,4.2
1101005,5.5,5.2
1101104,4.8,5
1101203,6.9,5.9
1101302,5.3,5.1
1101401,5.3,4.7
1101435,5.4,5.5
1101450,5.3,4.1
1101468,6.3,5
1101476,5.1,5.6
1101484,5.7,5.5
1101492,5.9,5.4
1101500,5.7,4.8
1101559,6,5.5
1101609,6.4,5.6
1101708,6,5.7
1101757,5.8,5
1101807,5.1,4.7
1200013,5.4,5.6
1200054,4.3,4.9
1200104,6.4,6.8
1200138,4.5,4.5
1200179,4.2,4.6
1200203,5.5,5.7
1200252,5.8,6
1200302,5.5,5.2
1200328,4.8,4.8
1200336,5.2,5.3
1200344,4.7,5.4
1200351,4.2,4.5
1200385,5.2,4.9
1200393,3.7,4.2
1200401,6.4,6.5
1200427,5.8,5.5
1200435,3.4,3.7
1200450,6.4,6.3
1200500,5.7,5.7
1200609,5.2,5
1200708,5.5,5.9
1200807,5,-
1300029,3.7,4
1300060,4,4.4
1300086,5,5.5
1300102,5.3,5.2
1300144,5.4,5.2
1300201,4.5,4.2
1300300,4.8,4.9
1300409,4.7,4.9
1300508,4.6,4.7
1300607,4.4,4.3
1300631,4.6,4
1300680,4.6,4.5
1300706,6.1,6
1300805,5.1,4.4
1300839,4.7,4.1
1300904,3.8,3.6
1301001,4.8,5
1301100,4.8,4.6
1301159,4.3,4.2
1301209,4.6,4.6
1301308,4.6,4.6
1301407,4.5,4.5
1301506,3.7,3.3
1301605,3.1,3.6
1301654,4.1,3.9
1301704,4.5,4.4
1301803,3.7,3.8
1301852,4.5,5
1301902,5.7,5.3
1301951,4.4,3.3
1302009,5.2,5.2
1302108,4.9,3.5
1302207,3.6,3.3
1302306,3.9,3.9
1302405,4.1,4.3
1302504,5.3,5.5
1302553,4.4,3.8
1302603,5.9,6
1302702,5.1,5
1302801,3.5,3.5
1302900,5.1,5.1
1303007,5.8,5.4
1303106,4.8,4.7
1303205,5.7,5
1303304,5.1,4.2
1303403,5.8,5.7
1303502,3.1,2.9
1303536,5,4.8
1303569,4.7,4.8
1303601,4.4,4.3
1303700,4,3.7
1303809,4.5,4.6
1303908,4.4,4.6
1303957,5.2,5.1
1304005,4.4,4.6
1304062,4.6,4.8
1304104,4.3,4.6
1304203,4.6,4.7
1304237,3.7,4.1
1304260,3.8,4.3
1304302,5.3,5.3
1304401,4.4,4.8
1400027,4.6,-
1400050,4.6,-
1400100,5.8,5.9
1400159,4.5,4.4
1400175,-,-
1400209,4.5,4.4
1400233,4.5,-
1400282,4.4,4.4
1400308,4.3,4.5
1400407,4.3,3.9
1400456,5,-
1400472,4.5,4.7
1400506,4.2,4.9
1400605,4.2,4.9
1400704,4.2,-
1500107,4.6,4.7
1500131,5.1,5.1
1500206,3.7,3.8
1500305,3.3,3.5
1500347,3.5,4
1500404,4,4.3
1500503,3.6,3.6
1500602,5.5,5.7
1500701,3.3,3.4
1500800,5,5.3
1500859,4.2,4.2
1500909,4,4.2
1500958,4.6,4.8
1501006,3.6,4.4
1501105,3.9,3.7
1501204,3.9,-
1501253,4,4.5
1501303,4.1,4.4
1501402,4.8,5.2
1501451,4.6,5.1
1501501,6.2,6.2
1501576,4.7,5
1501600,4,4.3
1501709,4.1,4.4
1501725,5.3,5.6
1501758,4.4,3.9
1501782,4.4,4.4
1501808,3.5,3.6
1501907,4,4.2
1501956,3.5,3.9
1502004,3.9,3.9
1502103,3.8,3.7
1502152,5,5.1
1502202,4.4,4.8
1502301,3.6,4.2
1502400,4.7,4.8
1502509,3.3,3.1
1502608,4.4,4.8
1502707,4.5,4.6
1502756,3.8,3.7
1502764,3.9,-
1502772,5.3,5.4
1502806,3.1,-
1502855,3.8,4.1
1502905,3.8,4.2
1502939,5.4,5.6
1502954,4.4,4.6
1503002,4.1,4.3
1503044,4.3,4.5
1503077,3.7,4.4
1503093,4.5,4.5
1503101,3.3,3.5
1503200,3.7,4
1503309,3.8,4
1503408,4.6,4.3
1503457,4.5,4.5
1503507,4.1,4.3
1503606,4.8,4.6
1503705,3.9,4.2
1503754,3.8,3.5
1503804,4.3,4.5
1503903,4.7,5
1504000,3.6,3.8
