IBGE,VALOR TOTAL
120001,"R$ 89.445,26"
120005,"R$ 52.082,33"
120010,"R$ 182.097,99"
120013,"R$ 72.701,87"
120017,"R$ 76.435,30"
120020,"R$ 546.213,85"
120025,"R$ 110.533,69"
120030,"R$ 153.789,37"
120032,"R$ 53.060,34"
120034,"R$ 95.891,93"
120035,"R$ 88.779,00"
120033,"R$ 133.584,27"
120038,"R$ 81.631,59"
120080,"R$ 86.778,90"
120039,"R$ 79.559,80"
120040,"R$ 1.364.969,27"
120042,"R$ 94.034,72"
120043,"R$ 29.963,55"
120050,"R$ 290.306,73"
120045,"R$ 133.824,20"
120060,"R$ 176.749,99"
120070,"R$ 115.529,70"
270020,"R$ 123.398,51"
270030,"R$ 1.050.083,99"
270040,"R$ 220.252,38"
270050,"R$ 90.715,65"
270060,"R$ 74.919,58"
270070,"R$ 133.817,43"
270090,"R$ 40.206,70"
270080,"R$ 43.127,14"
270100,"R$ 159.394,84"
270110,"R$ 84.747,82"
270120,"R$ 89.169,80"
270130,"R$ 102.850,06"
270135,"R$ 53.101,08"
270140,"R$ 267.218,26"
270150,"R$ 78.872,67"
270160,"R$ 124.364,26"
270170,"R$ 126.074,76"
270180,"R$ 73.739,42"
270190,"R$ 61.791,36"
270200,"R$ 86.602,55"
270210,"R$ 112.355,79"
270220,"R$ 43.597,07"
270230,"R$ 299.411,52"
270235,"R$ 188.822,83"
270240,"R$ 216.378,62"
270250,"R$ 79.800,66"
270255,"R$ 130.043,75"
270260,"R$ 156.153,24"
270270,"R$ 36.953,87"
270280,"R$ 68.049,28"
270290,"R$ 236.563,88"
270300,"R$ 114.019,56"
270310,"R$ 217.424,27"
270320,"R$ 157.536,30"
270330,"R$ 122.195,70"
270340,"R$ 51.605,05"
270350,"R$ 32.532,31"
270360,"R$ 72.872,02"
270370,"R$ 49.056,77"
270375,"R$ 87.810,91"
270380,"R$ 140.066,78"
270390,"R$ 35.563,73"
270400,"R$ 206.225,55"
270410,"R$ 146.580,85"
270420,"R$ 236.325,42"
270430,"R$ 1.390.449,26"
270440,"R$ 130.384,67"
270490,"R$ 33.074,85"
270450,"R$ 170.942,51"
270460,"R$ 70.015,18"
270470,"R$ 330.060,34"
270480,"R$ 98.371,25"
270500,"R$ 113.470,50"
270510,"R$ 161.534,39"
270520,"R$ 95.020,78"
270530,"R$ 49.520,14"
270540,"R$ 66.673,67"
270550,"R$ 171.032,16"
270560,"R$ 74.180,74"
270570,"R$ 160.091,64"
270580,"R$ 71.218,71"
270590,"R$ 40.567,24"
270600,"R$ 93.382,46"
270610,"R$ 82.235,68"
270620,"R$ 46.757,63"
270630,"R$ 405.948,80"
270642,"R$ 84.504,20"
270644,"R$ 64.913,96"
270650,"R$ 101.147,86"
270660,"R$ 66.580,01"
270670,"R$ 310.922,65"
270680,"R$ 132.179,39"
270690,"R$ 224.705,70"
270700,"R$ 19.930,12"
270710,"R$ 122.591,28"
270730,"R$ 153.944,66"
270740,"R$ 71.314,19"
270750,"R$ 158.942,65"
270720,"R$ 100.167,23"
270640,"R$ 177.178,45"
270760,"R$ 97.085,78"
270770,"R$ 430.078,26"
270780,"R$ 58.275,33"
270790,"R$ 47.213,72"
270800,"R$ 241.036,15"
270810,"R$ 96.328,60"
270890,"R$ 94.624,39"
270895,"R$ 98.067,61"
270820,"R$ 54.810,13"
270830,"R$ 184.073,96"
270840,"R$ 250.265,56"
270850,"R$ 219.381,85"
270860,"R$ 291.766,72"
270870,"R$ 72.159,54"
270880,"R$ 268.617,35"
270900,"R$ 54.979,06"
270910,"R$ 147.701,03"
270915,"R$ 287.020,52"
270920,"R$ 152.507,41"
270930,"R$ 303.973,32"
270940,"R$ 160.132,58"
270010,"R$ 167.691,75"
130002,"R$ 96.113,29"
130006,"R$ 62.738,68"
130008,"R$ 115.718,24"
130010,"R$ 147.934,70"
130014,"R$ 160.141,11"
130020,"R$ 99.148,32"
130030,"R$ 396.367,75"
130040,"R$ 141.938,07"
130050,"R$ 171.919,67"
130060,"R$ 184.472,71"
