IBGE,VALOR TOTAL
120001,R$ 89445.26
120005,R$ 52082.33
120010,R$ 182097.99
120013,R$ 72701.87
120017,R$ 76435.30
120020,R$ 546213.85
120025,R$ 110533.69
120030,R$ 153789.37
120032,R$ 53060.34
120034,R$ 95891.93
120035,R$ 88779.00
120033,R$ 133584.27
120038,R$ 81631.59
120080,R$ 86778.90
120039,R$ 79559.80
120040,R$ 1364969.27
120042,R$ 94034.72
120043,R$ 29963.55
120050,R$ 290306.73
120045,R$ 133824.20
120060,R$ 176749.99
120070,R$ 115529.70
270020,R$ 123398.51
270030,R$ 1050083.99
270040,R$ 220252.38
270050,R$ 90715.65
270060,R$ 74919.58
270070,R$ 133817.43
270090,R$ 40206.70
270080,R$ 43127.14
270100,R$ 159394.84
270110,R$ 84747.82
270120,R$ 89169.80
270130,R$ 102850.06
270135,R$ 53101.08
270140,R$ 267218.26
270150,R$ 78872.67
270160,R$ 124364.26
270170,R$ 126074.76
270180,R$ 73739.42
270190,R$ 61791.36
270200,R$ 86602.55
270210,R$ 112355.79
270220,R$ 43597.07
270230,R$ 299411.52
270235,R$ 188822.83
270240,R$ 216378.62
270250,R$ 79800.66
270255,R$ 130043.75
270260,R$ 156153.24
270270,R$ 36953.87
270280,R$ 68049.28
270290,R$ 236563.88
270300,R$ 114019.56
270310,R$ 217424.27
270320,R$ 157536.30
270330,R$ 122195.70
270340,R$ 51605.05
270350,R$ 32532.31
270360,R$ 72872.02
270370,R$ 49056.77
270375,R$ 87810.91
270380,R$ 140066.78
270390,R$ 35563.73
270400,R$ 206225.55
270410,R$ 146580.85
270420,R$ 236325.42
270430,R$ 1390449.26
270440,R$ 130384.67
270490,R$ 33074.85
270450,R$ 170942.51
270460,R$ 70015.18
270470,R$ 330060.34
270480,R$ 98371.25
270500,R$ 113470.50
270510,R$ 161534.39
270520,R$ 95020.78
270530,R$ 49520.14
270540,R$ 66673.67
270550,R$ 171032.16
270560,R$ 74180.74
270570,R$ 160091.64
270580,R$ 71218.71
270590,R$ 40567.24
270600,R$ 93382.46
270610,R$ 82235.68
270620,R$ 46757.63
270630,R$ 405948.80
270642,R$ 84504.20
270644,R$ 64913.96
270650,R$ 101147.86
270660,R$ 66580.01
270670,R$ 310922.65
270680,R$ 132179.39
270690,R$ 224705.70
270700,R$ 19930.12
270710,R$ 122591.28
270730,R$ 153944.66
270740,R$ 71314.19
270750,R$ 158942.65
270720,R$ 100167.23
270640,R$ 177178.45
270760,R$ 97085.78
270770,R$ 430078.26
270780,R$ 58275.33
270790,R$ 47213.72
270800,R$ 241036.15
270810,R$ 96328.60
270890,R$ 94624.39
270895,R$ 98067.61
270820,R$ 54810.13
270830,R$ 184073.96
270840,R$ 250265.56
270850,R$ 219381.85
270860,R$ 291766.72
270870,R$ 72159.54
270880,R$ 268617.35
270900,R$ 54979.06
270910,R$ 147701.03
270915,R$ 287020.52
270920,R$ 152507.41
270930,R$ 303973.32
270940,R$ 160132.58
270010,R$ 167691.75
130002,R$ 96113.29
130006,R$ 62738.68
130008,R$ 115718.24
130010,R$ 147934.70
130014,R$ 160141.11
130020,R$ 99148.32
130030,R$ 396367.75
130040,R$ 141938.07
130050,R$ 171919.67
130060,R$ 184472.71
130063,R$ 87533.32
130068,R$ 151763.44
130070,R$ 144315.50
130080,R$ 236714.54
130083,R$ 86946.62
130090,R$ 94283.53
130100,R$ 117571.26
130110,R$ 242945.56
130115,R$ 108882.63
130120,R$ 299391.07
130130,R$ 213009.00
130140,R$ 208382.34
130150,R$ 139974.25
130160,R$ 159673.44
130165,R$ 80328.32
130170,R$ 260094.33
130180,R$ 83434.32
130185,R$ 464393.64
130190,R$ 470998.01
130195,R$ 26971.21
130200,R$ 77050.37
130210,R$ 63240.32
130220,R$ 91843.49
130230,R$ 155617.78
130240,R$ 274191.40
130250,R$ 442316.30
130255,R$ 103675.04
130260,R$ 7165251.89
130270,R$ 373246.32
130280,R$ 124396.65
130290,R$ 316087.05
130300,R$ 161992.21
130310,R$ 165941.31
130320,R$ 98308.80
