,UF,cod_ibge,Mes,Obitos,Regiao
0,AC,120001,7,1,N
1,AC,120001,9,1,N
2,AC,120001,10,1,N
3,AC,120001,12,2,N
4,AC,120005,6,1,N
5,AC,120010,6,2,N
6,AC,120010,7,1,N
7,AC,120010,8,3,N
8,AC,120010,9,1,N
9,AC,120010,12,1,N
10,AC,120013,7,1,N
11,AC,120013,9,1,N
12,AC,120017,5,1,N
13,AC,120017,6,3,N
14,AC,120020,5,10,N
15,AC,120020,6,25,N
16,AC,120020,7,16,N
17,AC,120020,8,2,N
18,AC,120020,9,3,N
19,AC,120020,10,1,N
20,AC,120020,11,2,N
21,AC,120020,12,1,N
22,AC,120025,5,1,N
23,AC,120025,7,1,N
24,AC,120030,6,1,N
25,AC,120030,7,1,N
26,AC,120030,9,1,N
27,AC,120033,6,1,N
28,AC,120034,6,1,N
29,AC,120034,7,1,N
30,AC,120034,12,1,N
31,AC,120035,11,1,N
32,AC,120035,12,1,N
33,AC,120038,4,1,N
34,AC,120038,5,2,N
35,AC,120038,6,3,N
36,AC,120038,7,2,N
37,AC,120040,4,21,N
38,AC,120040,5,127,N
39,AC,120040,6,137,N
40,AC,120040,7,74,N
41,AC,120040,8,32,N
42,AC,120040,9,21,N
43,AC,120040,10,20,N
44,AC,120040,11,25,N
45,AC,120040,12,54,N
46,AC,120042,6,1,N
47,AC,120042,8,1,N
48,AC,120043,6,2,N
49,AC,120045,6,3,N
50,AC,120045,7,2,N
51,AC,120045,8,2,N
52,AC,120045,9,1,N
53,AC,120045,12,1,N
54,AC,120050,6,2,N
55,AC,120050,7,1,N
56,AC,120050,8,2,N
57,AC,120050,11,1,N
58,AC,120050,12,1,N
59,AC,120070,5,1,N
60,AC,120070,6,1,N
61,AC,120070,7,1,N
62,AC,120070,8,1,N
63,AC,120080,5,2,N
64,AC,120080,6,1,N
65,AC,120080,7,1,N
66,AC,120080,8,2,N
67,AC,120080,12,1,N
68,AL,270010,5,3,NE
69,AL,270010,6,1,NE
70,AL,270010,7,1,NE
71,AL,270010,11,1,NE
72,AL,270020,4,3,NE
73,AL,270020,6,3,NE
74,AL,270020,7,6,NE
75,AL,270020,9,1,NE
76,AL,270020,11,1,NE
77,AL,270030,4,2,NE
78,AL,270030,5,42,NE
79,AL,270030,6,97,NE
80,AL,270030,7,58,NE
81,AL,270030,8,19,NE
82,AL,270030,9,21,NE
83,AL,270030,10,9,NE
84,AL,270030,11,14,NE
85,AL,270030,12,9,NE
86,AL,270040,5,6,NE
87,AL,270040,6,2,NE
88,AL,270040,7,7,NE
89,AL,270040,8,1,NE
90,AL,270040,11,1,NE
91,AL,270040,12,3,NE
92,AL,270050,5,6,NE
93,AL,270050,6,3,NE
94,AL,270050,8,1,NE
95,AL,270050,9,2,NE
96,AL,270060,5,1,NE
97,AL,270060,6,2,NE
98,AL,270060,7,1,NE
99,AL,270070,4,1,NE
100,AL,270070,6,4,NE
101,AL,270070,7,3,NE
102,AL,270070,8,2,NE
103,AL,270070,9,3,NE
104,AL,270080,5,1,NE
105,AL,270080,7,1,NE
106,AL,270080,8,1,NE
107,AL,270080,11,2,NE
108,AL,270080,12,1,NE
109,AL,270090,7,2,NE
110,AL,270090,9,1,NE
111,AL,270090,11,1,NE
112,AL,270100,5,4,NE
113,AL,270100,6,10,NE
114,AL,270100,7,5,NE
115,AL,270100,8,1,NE
116,AL,270100,9,1,NE
117,AL,270100,10,2,NE
118,AL,270110,5,1,NE
119,AL,270110,6,2,NE
120,AL,270110,7,2,NE
121,AL,270120,5,1,NE
122,AL,270120,11,1,NE
123,AL,270130,5,2,NE
124,AL,270130,6,8,NE
125,AL,270130,7,3,NE
126,AL,270130,8,1,NE
127,AL,270130,10,2,NE
128,AL,270135,4,2,NE
129,AL,270135,5,4,NE
130,AL,270135,6,6,NE
131,AL,270135,8,1,NE
132,AL,270140,3,1,NE
133,AL,270140,5,1,NE
134,AL,270140,6,21,NE
135,AL,270140,7,4,NE
136,AL,270140,8,4,NE
137,AL,270140,9,2,NE
138,AL,270140,12,1,NE
139,AL,270150,5,4,NE
140,AL,270150,7,3,NE
141,AL,270150,8,3,NE
142,AL,270150,9,2,NE
143,AL,270160,5,1,NE
144,AL,270160,8,1,NE
145,AL,270160,9,2,NE
146,AL,270170,5,1,NE
147,AL,270170,6,2,NE
148,AL,270170,7,4,NE
149,AL,270170,8,1,NE
150,AL,270170,12,1,NE
