,cod_ibge,Obitos,Ano,UF,Estado,Municipio,populacao,Producao_Hosp,lat_long,por_100k,Regiao
0,120013,2,2020,AC,Acre,Bujari,10420,278969.33,"-9.82001962670938,-67.9518592792015",19.19,N
1,120030,3,2020,AC,Acre,Feijó,34884,712203.14,"-8.16024753,-70.3539836082165",8.6,N
2,120070,4,2020,AC,Acre,Xapuri,19596,915454.91,"-10.6520719403355,-68.5062948050463",20.41,N
3,120032,0,2020,AC,Acre,Jordão,8473,226352.82,"-9.19335785982848,-71.9508751248365",0.0,N
4,120017,4,2020,AC,Acre,Capixaba,12008,384835.93,"-10.5697677087928,-67.6735079719432",33.31,N
5,120060,0,2020,AC,Acre,Tarauacá,43151,1473498.32,"-8.15566859176562,-70.7555010628937",0.0,N
6,120010,8,2020,AC,Acre,Brasiléia,26702,1388351.57,"-11.0164110190858,-68.7479434259584",29.96,N
7,120080,7,2020,AC,Acre,Porto Acre,18824,481930.23,"-9.60085823118788,-67.5405900835194",37.19,N
8,120040,511,2020,AC,Acre,Rio Branco,413418,24416092.3,"-9.97829875272498,-67.8105287004235",123.6,N
9,120001,5,2020,AC,Acre,Acrelândia,15490,449664.13,"-10.0737938924635,-67.0523165800206",32.28,N
10,120005,1,2020,AC,Acre,Assis Brasil,7534,355892.25,"-10.9428656809172,-69.5634591746677",13.27,N
11,120033,1,2020,AC,Acre,Mâncio Lima,19311,626490.97,"-7.59322259385836,-72.9165010261308",5.18,N
12,120039,0,2020,AC,Acre,Porto Walter,12241,221088.37,"-8.26666636282753,-72.7423339648033",0.0,N
13,120034,3,2020,AC,Acre,Manoel Urbano,9581,381803.65,"-8.83631773689166,-69.2599445775075",31.31,N
14,120050,7,2020,AC,Acre,Sena Madureira,46511,1809428.52,"-9.065339505,-68.655684061692",15.05,N
15,120020,60,2020,AC,Acre,Cruzeiro do Sul,89072,4101156.87,"-7.63069000500981,-72.6725313174358",67.36,N
16,120025,2,2020,AC,Acre,Epitaciolândia,18696,722135.07,"-11.0282398279564,-68.7448680666749",10.7,N
17,120042,2,2020,AC,Acre,Rodrigues Alves,19351,471941.81,"-7.73360203372322,-72.6478549141997",10.34,N
18,120045,9,2020,AC,Acre,Senador Guiomard,23236,878867.38,"-10.1481735861989,-67.7431723600051",38.73,N
19,120038,8,2020,AC,Acre,Plácido de Castro,19955,623403.5,"-10.3351332827427,-67.1882600861516",40.09,N
20,120043,2,2020,AC,Acre,Santa Rosa do Purus,6717,161776.14,"-9.44340653741185,-70.4864968937616",29.78,N
21,120035,2,2020,AC,Acre,Marechal Thaumaturgo,19299,602000.9,"-8.95359112315366,-72.7902659086983",10.36,N
22,270310,7,2020,AL,Alagoas,Igaci,25613,1628717.03,"-9.53368865946465,-36.62815971645",27.33,NE
23,270690,39,2020,AL,Alagoas,Pilar,35212,2911334.02,"-9.60689429266684,-35.9485175199678",110.76,NE
24,270020,14,2020,AL,Alagoas,Anadia,17526,1202726.84,"-9.68408378505047,-36.3008135714461",79.88,NE
25,270080,6,2020,AL,Alagoas,Belém,4284,360155.36,"-9.56864823133606,-36.4944979894058",140.06,NE
26,270160,4,2020,AL,Alagoas,Canapi,17719,661814.86,"-9.11738029758643,-37.6056471506351",22.57,NE
27,270170,9,2020,AL,Alagoas,Capela,16979,878371.7,"-9.4129315555221,-36.0750084923936",53.01,NE
28,270330,6,2020,AL,Alagoas,Inhapi,18392,599470.91,"-9.22389877333184,-37.752636521046",32.62,NE
29,270550,23,2020,AL,Alagoas,Murici,28333,1625984.32,"-9.31630114434686,-35.947555585677",81.18,NE
30,270670,26,2020,AL,Alagoas,Penedo,63846,3468202.7,"-10.2961102979024,-36.5804602140903",40.72,NE
31,270890,17,2020,AL,Alagoas,Satuba,13936,1258515.06,"-9.56942786775773,-35.8285402270771",121.99,NE
32,270920,13,2020,AL,Alagoas,Traipu,27826,1289759.49,"-9.97105938200651,-37.0060056722452",46.72,NE
33,270040,20,2020,AL,Alagoas,Atalaia,47365,2192933.11,"-9.50138674650017,-36.0214273162625",42.23,NE
34,270070,13,2020,AL,Alagoas,Batalha,18338,1100993.31,"-9.67459302797037,-37.1270918944836",70.89,NE
35,270390,4,2020,AL,Alagoas,Jundiá,4137,321702.37,"-8.93887675416228,-35.5555972975355",96.69,NE
