Unidade da Federação;Quantidade
11 Rondônia;57
12 Acre;24
13 Amazonas;200
14 Roraima;22
15 Pará;194
16 Amapá;36
17 Tocantins;52
21 Maranhão;179
22 Piauí;102
23 Ceará;315
24 Rio Grande do Norte;193
25 Paraíba;181
26 Pernambuco;419
27 Alagoas;129
28 Sergipe;97
29 Bahia;499
31 Minas Gerais;733
32 Espírito Santo;186
33 Rio de Janeiro;877
35 São Paulo;1965
41 Paraná;220
42 Santa Catarina;214
43 Rio Grande do Sul;449
50 Mato Grosso do Sul;75
51 Mato Grosso;80
52 Goiás;226
53 Distrito Federal;257
 
