COD_UF,NOME_ESTADO,UF,2017,2018,2019,2020
11,Rondônia,RO, 362864032.07 , 394010895.94 , 400951236.16 , 404595059.58 
12,Acre,AC, 195129369.42 , 199135379.12 , 204467731.3 , 204812002.54 
13,Amazonas,AM, 564904103.65 , 564427216.81 , 574031095.37 , 565235001.03 
14,Roraima,RR, 120716993.55 , 133923874.25 , 136797144.43 , 136993371.14 
15,Pará,PA, 1149954475.59 , 1181003845.12 , 1267016646.21 , 1297795490.89 
16,Amapá,AP, 119002108.13 , 120357331.45 , 125937007.23 , 130177931.94 
17,Tocantins,TO, 378195680.31 , 380542760.71 , 415549866.19 , 420727227.65 
21,Maranhão,MA, 1069956802.19 , 1076319600.13 , 1126598817.55 , 1142696346.52 
22,Piauí,PI, 717294719.28 , 731394819.71 , 740004956.75 , 749193631.18 
23,Ceará,CE, 1846923268.03 , 1913311514.9 , 1980076565.13 , 2047503909.39 
24,Rio Grande do Norte,RN, 628800446.96 , 646995710.5 , 703292816.63 , 716361022.42 
25,Paraíba,PB, 737099906.49 , 776086757.76 , 829982930.37 , 847289395.38 
26,Pernambuco,PE, 2052108689.38 , 2183874151.76 , 2223275047.32 , 2256472164.98 
27,Alagoas,AL, 785480990.78 , 815716452.62 , 837076240.59 , 840698909.96 
28,Sergipe,SE, 476986587.85 , 491771455.39 , 501461031.41 , 507869633.83 
29,Bahia,BA, 2814499516.86 , 2958074582.97 , 3108387770.82 , 3166768367.54 
31,Minas Gerais,MG, 4414170574.23 , 4606204735.49 , 4966742155.11 , 5055285297.68 
32,Espírito Santo,ES, 768630562.13 , 812835806.96 , 829861968.4 , 864230497.92 
33,Rio de Janeiro,RJ, 3503655355.19 , 3548523871.37 , 3669629369.29 , 3892301850.79 
35,São Paulo,SP, 8605886784.89 , 8998975798.39 , 9258555345.45 , 9432350154.29 
41,Paraná,PR, 2581839066.41 , 2662467973.72 , 2744687982.89 , 2793584696.92 
42,Santa Catarina,SC, 1365598294.75 , 1536016792.34 , 1585930225.85 , 1606933129.81 
43,Rio Grande do Sul,RS, 2524061425.85 , 2681878368.97 , 2881230236.36 , 3014948867.66 
50,Mato Grosso do Sul,MS, 640322860.58 , 648619169.05 , 701313859.02 , 725262732.06 
51,Mato Grosso,MT, 629456816.81 , 633031067.04 , 681874069.83 , 707430928.05 
52,Goiás,GO, 1177603787.46 , 1260485800.41 , 1383634892.79 , 1423168302.27 
53,Distrito Federal,DF, 481256113.42 , 474700532.22 , 492002691.8 , 522614695.28 
