CNES,QT_abaixo_quartil1
0001120,21
0000434,21
2537192,21
2078511,21
2010356,21
0013846,20
2576341,20
2760843,20
5707234,20
2129566,19
0019305,19
2013606,19
2025507,19
5356067,19
0000426,19
2315343,19
2363070,19
2790602,19
2287382,18
2535556,18
2006510,18
2164620,18
2081873,18
6599877,17
2205939,17
6892256,17
0015334,17
0013633,17
2273411,17
2772280,17
2089785,17
2495015,17
2219638,17
2716097,17
2208857,17
2589737,17
2083116,16
2743469,16
2748029,16
0015423,16
6388671,16
0000477,16
7088302,16
2237571,15
2078325,15
2084236,15
2232995,15
2798298,15
2080354,15
2077485,15
2119528,15
2487438,15
2655411,15
0004278,15
2351633,15
2344882,15
2192896,15
2568713,15
2119420,14
0010464,14
2452383,14
6697054,14
7551584,14
2302500,14
2181770,14
2081164,14
2678403,14
2687127,14
2077523,14
2209195,14
2006359,14
2006448,14
2206064,14
2337800,13
2688433,13
2079240,13
0008052,13
2519208,13
2726971,13
2080532,13
2362287,13
2783789,13
2232154,13
2306336,13
0027022,13
2084058,13
2344254,13
6053858,13
2750988,13
2785900,13
2077574,13
2118661,13
0017868,13
2027186,13
2333031,13
2236370,12
2410281,12
2442604,12
2241153,12
2221772,12
6853781,12
2532190,12
2395037,12
7866801,12
2275619,12
0008923,12
9065768,12
2248298,12
5616298,12
2480646,12
2146525,12
2091755,12
6559379,12
2328798,12
2323338,12
2775999,12
7564546,12
2707969,12
2114267,12
2098326,12
2240335,12
2012472,12
7473702,12
2077450,12
0026840,12
2010631,12
6236596,12
2151855,12
0003832,12
2726998,12
2098369,12
2080575,12
2415488,11
2262568,11
2740435,11
2078848,11
2082187,11
2145960,11
2521792,11
0013838,11
2400693,11
2384299,11
2079798,11
2604434,11
2090961,11
5717515,11
2081377,11
2248190,11
2301830,11
3075516,11
2558254,11
0000582,10
2127989,10
3225798,10
2613743,10
2399555,10
2083094,10
2743477,10
3021114,10
2078139,10
2218690,10
2400243,10
0008028,10
0002232,10
3698548,10
2078015,10
2691515,10
2091313,10
2464594,10
2111624,10
2269341,10
2132877,10
2319454,10
2127687,10
2087111,10
5200105,10
2066572,10
2257556,10
5597501,10
2409194,10
2082519,9
2028840,9
2338351,9
2741989,9
2269880,9
2589265,9
2673932,9
0027863,9
2161354,9
2297795,9
2323397,9
0027014,9
2428393,9
2298317,9
4001303,9
2727005,9
2765934,9
2010151,9
2081091,9
2529149,9
0025143,9
2795655,9
2427419,9
0015644,9
2738287,9
2084473,9
2323249,9
2504316,9
2487756,9
2069776,9
2252287,9
8015899,9
2122650,9
2200422,9
2362856,9
2738252,9
2082691,9
2255936,9
2408252,9
3675580,9
2082640,9
2564238,9
7092571,9
2594714,9
2223546,8
0009717,8
7666772,8
2111659,8
2023709,8
2083086,8
2078775,8
2078295,8
2547317,8
2083981,8
2081695,8
2695324,8
0015369,8
5446546,8
2001578,8
2555646,8
7166494,8
2088495,8
2058790,8
2491710,8
2254964,8
2710935,8
2077426,8
3126838,8
2099438,8
2111640,8
0009725,8
2522691,8
2332671,8
2295407,8
2705222,8
2816210,8
2587335,8
2755092,8
2232014,8
2491249,8
2758164,8
2340690,8
2259907,8
2138875,8
5828856,8
2148293,8
2246929,8
2253046,8
0004251,8
2089335,8
4028155,8
2399776,8
2080028,8
2796562,8
2761203,8
2754843,8
2075962,8
2005417,8
2075717,7
2077434,7
2112175,7
2481073,7
2292386,7
2237253,7
6595197,7
2281384,7
2273748,7
2558246,7
6920977,7
2077639,7
3152928,7
5585422,7
2098911,7
2025752,7
2081253,7
3708926,7
2600536,7
2006197,7
2082888,7
6665322,7
4013484,7
2693801,7
0019402,7
0025135,7
0014125,7
2084171,7
2561417,7
2252295,7
0000396,7
2796449,7
2079836,7
2082594,7
2244357,7
2265060,7
2328534,7
2241048,7
2025477,7
2320681,7
2752700,7
7891067,7
2537788,7
2696940,7
2726653,7
2280051,7
2087057,7
2278855,7
3212130,7
2261987,7
2093332,7
0015563,7
2791722,7
2173166,6
2296241,6
6164366,6
6601804,6
2250837,6
0002283,6
2485729,6
2248328,6
2777746,6
2764814,6
2082349,6
2287579,6
2223538,6
2083051,6
2163829,6
2077477,6
2195453,6
2709848,6
2696932,6
2758245,6
2099454,6
0010510,6
2792168,6
7845138,6
2577410,6
2707675,6
2436450,6
2283328,6
2241021,6
2676060,6
2493853,6
2144298,6
2232030,6
0026808,6
2639009,6
7486413,6
2786680,6
2447029,6
2267209,6
2561492,6
2261057,6
0017884,6
2248239,6
2237849,6
3157245,6
2219646,6
2139200,6
2082829,6
2664879,6
2679736,5
2082926,5
2295415,5
2129469,5
2232162,5
2096412,5
2079828,5
2309254,5
3021378,5
2206382,5
2083604,5
7082886,5
2248204,5
0004073,5
2568349,5
2802783,5
2232022,5
2096463,5
2020645,5
2087103,5
2781859,5
2506661,5
0014109,5
2092298,5
2761106,5
2365146,5
2079895,5
2171945,5
2399628,5
